series,mode,mode_order,mean_period,spearman_corr,spearman_pvalue,spearman_significance,variance_contribution,run_length_number,gmm_cluster,gmm_cluster_mean_rln,scale
platinum_futures,IMF9,9,775.0,0.02171485802797803,0.22678310590366396,,0.0003164037695831418,8.0,0.0,127.625,LTC
platinum_futures,IMF10,10,1550.0,-0.016078418045309042,0.37083774831705985,,1.6292737550668029e-09,5.0,0.0,127.625,LTC
platinum_futures,residue,11,inf,0.03387531332678826,0.059311372080034,*,0.00012369349294579318,,,,LTC
palladium_futures,IMF1,1,2.724077328646749,0.731047118693767,0.0,***,0.5590049581288936,2120.0,1.0,2120.0,STC
palladium_futures,IMF2,2,5.506216696269982,0.4583576181073534,6.932702224349529e-161,***,0.2433513934878062,1068.0,2.0,1068.0,MTC
palladium_futures,IMF3,3,10.54421768707483,0.31285465532204926,2.3207217538937377e-71,***,0.11107976902636536,540.0,0.0,146.0,LTC
palladium_futures,IMF4,4,21.379310344827587,0.23720448995469737,6.621813621588313e-41,***,0.05047627008559456,268.0,0.0,146.0,LTC
palladium_futures,IMF5,5,46.96969696969697,0.14097514268823913,3.135109426354092e-15,***,0.02185423580945356,124.0,0.0,146.0,LTC
palladium_futures,IMF6,6,106.89655172413794,0.09041211573196035,4.6013156922582407e-07,***,0.0076052299149725255,56.0,0.0,146.0,LTC
palladium_futures,IMF7,7,238.46153846153845,0.027492280088374264,0.12592336820440567,,0.0033929259931767893,21.0,0.0,146.0,LTC
palladium_futures,IMF8,8,620.0,0.03141655804404245,0.08030378521084794,*,0.0021583262482158445,8.0,0.0,146.0,LTC
palladium_futures,IMF9,9,1550.0,0.06377589320270342,0.00038075345489635746,***,0.0010362906792810247,5.0,0.0,146.0,LTC
palladium_futures,residue,10,inf,0.01864677465553062,0.29932592869041885,,4.0600626240519325e-05,,,,LTC
gold_spot,IMF1,1,2.7312775330396475,0.7388784377336496,0.0,***,0.5838015652582133,2173.0,1.0,2173.0,STC
gold_spot,IMF2,2,5.391304347826087,0.449534683950103,4.3338793410118274e-154,***,0.19334392112426793,1078.0,2.0,1078.0,MTC
gold_spot,IMF3,3,10.652920962199312,0.29388366228187546,8.351337865494136e-63,***,0.1067028997113648,543.0,0.0,133.375,LTC
gold_spot,IMF4,4,21.232876712328768,0.2247253663404597,8.72505600012604e-37,***,0.06686064697603393,273.0,0.0,133.375,LTC
gold_spot,IMF5,5,41.333333333333336,0.14310994406501382,1.1845009131529045e-15,***,0.02242387670301799,135.0,0.0,133.375,LTC
gold_spot,IMF6,6,91.17647058823529,0.11679469779676958,6.911542377752623e-11,***,0.015736675973929012,66.0,0.0,133.375,LTC
gold_spot,IMF7,7,206.66666666666666,0.07142921289753817,6.877298448055242e-05,***,0.006141580315487817,25.0,0.0,133.375,LTC
gold_spot,IMF8,8,442.85714285714283,0.02496318194709355,0.16466644072295242,,0.00101833971887778,14.0,0.0,133.375,LTC
gold_spot,IMF9,9,775.0,0.05950987239369622,0.0009165255690389826,***,0.0034384202006386083,7.0,0.0,133.375,LTC
gold_spot,IMF10,10,1550.0,0.033895520293918055,0.05915981785599145,*,0.00011986944424621458,4.0,0.0,133.375,LTC
gold_spot,residue,11,inf,0.06636149809407688,0.00021778656340323653,***,0.0004122045739224254,,,,LTC
silver_spot,IMF1,1,2.7121609798775155,0.7308787972352437,0.0,***,0.5369392088029812,2164.0,1.0,2164.0,STC
silver_spot,IMF2,2,5.419580419580419,0.44361091640100514,1.2261349514543905e-149,***,0.16822394211123354,1084.0,2.0,1084.0,MTC
silver_spot,IMF3,3,10.689655172413794,0.29463324461886076,3.94239001594739e-63,***,0.11555125639889427,550.0,0.0,131.5,LTC
silver_spot,IMF4,4,21.52777777777778,0.22124371337808374,1.1134333207965891e-35,***,0.09851771025170732,259.0,0.0,131.5,LTC
silver_spot,IMF5,5,43.66197183098591,0.13531733411692495,3.8508736346917195e-14,***,0.05783947336952974,127.0,0.0,131.5,LTC
silver_spot,IMF6,6,88.57142857142857,0.09762408042570227,5.142846444398124e-08,***,0.014806114033098915,63.0,0.0,131.5,LTC
silver_spot,IMF7,7,206.66666666666666,0.06442375453247504,0.0003316369783410054,***,0.005851518817107943,28.0,0.0,131.5,LTC
silver_spot,IMF8,8,442.85714285714283,0.03404772443779117,0.05802856551622838,*,0.0012438263025870084,14.0,0.0,131.5,LTC
silver_spot,IMF9,9,775.0,0.05699906201021546,0.001499011727981297,***,0.0009472074962759247,7.0,0.0,131.5,LTC
silver_spot,IMF10,10,1550.0,0.019455322167667988,0.2788563127271634,,7.67968376530477e-05,4.0,0.0,131.5,LTC
silver_spot,residue,11,inf,0.05059919434465678,0.0048336939581782356,***,2.945578931122358e-06,,,,LTC
platinum_spot,IMF1,1,2.7777777777777777,0.7497968722553159,0.0,***,0.6105285803833634,2114.0,1.0,2114.0,STC
platinum_spot,IMF2,2,5.575539568345324,0.4826234688694626,1.218233400710722e-180,***,0.18735350967931105,1024.0,2.0,1024.0,MTC
platinum_spot,IMF3,3,10.99290780141844,0.3222580193459549,7.664872910617668e-76,***,0.0847817411377602,530.0,0.0,126.0,LTC
platinum_spot,IMF4,4,22.302158273381295,0.22948313427433467,2.5058083558295983e-38,***,0.06681736951323672,252.0,0.0,126.0,LTC
platinum_spot,IMF5,5,49.20634920634921,0.1512618367287907,2.5121627163791465e-17,***,0.03265320429675173,120.0,0.0,126.0,LTC
platinum_spot,IMF6,6,103.33333333333333,0.09473759482295994,1.2602949647975318e-07,***,0.012594730969833897,57.0,0.0,126.0,LTC
platinum_spot,IMF7,7,238.46153846153845,0.05466471742272858,0.002329498795928773,***,0.0043497454361894035,26.0,0.0,126.0,LTC
platinum_spot,IMF8,8,442.85714285714283,0.024997535329200488,0.16408599128259327,,0.0005765635521845238,14.0,0.0,126.0,LTC
platinum_spot,IMF9,9,775.0,0.046271032131061776,0.009977645625736472,***,0.000279189501345265,5.0,0.0,126.0,LTC
platinum_spot,IMF10,10,1550.0,0.01078060844102993,0.5484967500591382,,3.0102142686243806e-05,4.0,0.0,126.0,LTC
platinum_spot,residue,11,inf,0.03539481399911423,0.04877852325770163,**,3.526338733749861e-05,,,,LTC
palladium_spot,IMF1,1,2.767857142857143,0.7264731781013125,0.0,***,0.5427812015696096,2121.0,1.0,2121.0,STC
palladium_spot,IMF2,2,5.42907180385289,0.4614306987149491,2.6695844288564236e-163,***,0.21759266785711012,1074.0,2.0,1074.0,MTC
palladium_spot,IMF3,3,10.54421768707483,0.3087706979129577,1.8271033194846426e-69,***,0.10993160359455446,554.0,0.0,132.125,LTC
palladium_spot,IMF4,4,21.379310344827587,0.2304646191705588,1.1925312245371883e-38,***,0.08517438267095208,274.0,0.0,132.125,LTC
palladium_spot,IMF5,5,44.285714285714285,0.15234364541748843,1.4820790252005926e-17,***,0.029388263804011584,125.0,0.0,132.125,LTC
palladium_spot,IMF6,6,96.875,0.09685551111673481,6.545552366109883e-08,***,0.0091041563761439,60.0,0.0,132.125,LTC
palladium_spot,IMF7,7,258.3333333333333,0.039892338922872486,0.02634420580551253,**,0.0030231371890845626,25.0,0.0,132.125,LTC
palladium_spot,IMF8,8,442.85714285714283,0.03998839210613198,0.0259839196564687,**,0.0012395661689349653,10.0,0.0,132.125,LTC
palladium_spot,IMF9,9,1550.0,0.06596412482525414,0.0002376175414389094,***,0.0016561020853596133,5.0,0.0,132.125,LTC
palladium_spot,IMF10,10,3100.0,0.0373526055096531,0.03756297163572146,**,3.0758841581184576e-09,4.0,0.0,132.125,LTC
palladium_spot,residue,11,inf,0.010948704628838976,0.5422788959712145,,0.00010891560835497368,,,,LTC
