series,mode,mode_order,mean_period,spearman_corr,spearman_pvalue,spearman_significance,variance_contribution,run_length_number,rln_ratio,log_mean_period,log_rln_ratio,scaled_log_mean_period,scaled_log_rln_ratio,hierarchical_cluster,hierarchical_cluster_mean_period,hierarchical_cluster_mean_rln_ratio,scale
gold_futures,residue,11,inf,0.06612100663887359,0.0002295941524953841,***,0.0006767691353226202,,,,,,,,,,LTC
silver_futures,IMF1,1,2.7264731750219875,0.7367912331856517,0.0,***,0.5479411683461319,2160.0,0.6967741935483871,1.0030088967227015,-0.3612938897950269,-1.531016068087473,1.538593383033952,1.0,16.17335326600864,0.2720645161290322,STC
silver_futures,IMF2,2,5.391304347826087,0.42014702121581904,7.51658036649914e-133,***,0.16394012620652876,1084.0,0.3496774193548387,1.6847873496758872,-1.050744208473646,-1.20555524083995,1.207408814649508,1.0,16.17335326600864,0.2720645161290322,STC
silver_futures,IMF3,3,10.580204778156997,0.2860752440298714,1.8179368743397864e-59,***,0.0962550653698313,558.0,0.18,2.3589847814561704,-1.7147984280919266,-0.8837133684180397,0.8884235242668016,1.0,16.17335326600864,0.2720645161290322,STC
silver_futures,IMF4,4,21.379310344827587,0.20075520446000497,1.5012244232337708e-29,***,0.10933498390765177,271.0,0.08741935483870968,3.0624236480526634,-2.4370385695935366,-0.5479125016571844,0.5414880264465028,1.0,16.17335326600864,0.2720645161290322,STC
silver_futures,IMF5,5,40.78947368421053,0.1319846313089784,1.6077428408958758e-13,***,0.06149565102722666,144.0,0.04645161290322581,3.7084240501869066,-3.069344090897237,-0.23953105549951292,0.23775355060868522,1.0,16.17335326600864,0.2720645161290322,STC
silver_futures,IMF6,6,96.875,0.10003784844159944,2.382730144651048e-08,***,0.014032591760557099,61.0,0.01967741935483871,4.573421487673511,-3.9282835262999263,0.17339308481606372,-0.17484686232232888,3.0,248.79960317460313,0.010967741935483872,MTC
silver_futures,IMF7,7,206.66666666666666,0.06036476134644826,0.0007719010493907057,***,0.004806698457866733,28.0,0.00903225806451613,5.331107189371028,-4.706952880298034,0.5350897829148908,-0.5488887141156658,3.0,248.79960317460313,0.010967741935483872,MTC
silver_futures,IMF8,8,442.85714285714283,0.01792704328775729,0.31836996876373574,,0.0013710224892581123,13.0,0.004193548387096774,6.093247241417925,-5.474208033011701,0.898912855854812,-0.9174476366486527,3.0,248.79960317460313,0.010967741935483872,MTC
silver_futures,IMF9,9,1033.3333333333333,0.05972004616042129,0.0008788100212289276,***,0.0005312908586953505,6.0,0.001935483870967742,6.940545101805128,-6.247397921245183,1.3033877426339207,-1.288857370572042,2.0,1291.6666666666665,0.0016129032258064516,LTC
silver_futures,IMF10,10,1550.0,0.01621124812790302,0.3668978636162966,,7.009132919798787e-05,4.0,0.0012903225806451613,7.346010209913293,-6.652863029353347,1.4969447682824724,-1.483626715346759,2.0,1291.6666666666665,0.0016129032258064516,LTC
silver_futures,residue,11,inf,0.04637817111086782,0.009806589772654464,***,0.00022131024705435073,,,,,,,,,,LTC
platinum_futures,IMF1,1,2.7927927927927927,0.7462076525111474,0.0,***,0.6103071698372983,2114.0,0.6819354838709677,1.0270420961668578,-0.3828202240430547,-1.5604744723575608,1.5883400337461506,2.0,6.460456154749111,0.39483870967741935,STC
platinum_futures,IMF2,2,5.595667870036101,0.4744074896087034,8.991751142962162e-174,***,0.19034717057392647,1036.0,0.33419354838709675,1.7219927037259537,-1.0960349676538093,-1.2205516890503751,1.230034307380413,2.0,6.460456154749111,0.39483870967741935,STC
platinum_futures,IMF3,3,10.99290780141844,0.30917572385040193,1.188655080444277e-69,***,0.08298942193822953,522.0,0.16838709677419356,2.3972503195351242,-1.7814898025905987,-0.8902613839286423,0.8856746390993919,2.0,6.460456154749111,0.39483870967741935,STC
platinum_futures,IMF4,4,22.463768115942027,0.22299884573540368,3.101195372960943e-36,***,0.07170430026935337,259.0,0.08354838709677419,3.111903705316033,-2.4823293287737,-0.5407013355565818,0.5335859901413663,3.0,54.946887351778656,0.04795698924731182,MTC
platinum_futures,IMF5,5,48.4375,0.15044612177291772,3.7303647615736926e-17,***,0.028512862929584198,126.0,0.04064516129032258,3.8802743071135657,-3.2028754835217597,-0.16486646220952283,0.1715971001613449,3.0,54.946887351778656,0.04795698924731182,MTC
platinum_futures,IMF6,6,93.93939393939394,0.09133125849917366,3.5112957790764927e-07,***,0.007542502949418797,61.0,0.01967741935483871,4.542649829006757,-3.9282835262999263,0.15912279479294256,-0.19283431128607761,3.0,54.946887351778656,0.04795698924731182,MTC
