date,network_id,network_type,window_size,window_start,window_end,node,from_r2,to_r2,net_r2,FROM,TO,NET
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_spot_MTC,0.570749583229125,0.5677924846221459,-0.002957098606979014,57.074958322912494,56.779248462214596,-0.2957098606979014
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_futures_LTC,0.45670743865200214,0.45963641940340116,0.002928980751399024,45.670743865200215,45.96364194034012,0.2928980751399024
,within_gold,within_metal_cross_scale,3100,2012-01-04,2026-03-31,gold_spot_LTC,0.4276026063368562,0.5114365924767728,0.08383398613991655,42.76026063368562,51.14365924767728,8.383398613991655
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_futures_STC,0.7503714871946668,0.4073474260861493,-0.3430240611085175,75.03714871946669,40.73474260861493,-34.30240611085175
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_spot_STC,0.7311772578974695,0.6950435787685625,-0.03613367912890697,73.11772578974694,69.50435787685625,-3.613367912890697
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_futures_MTC,0.4473718262947516,0.3672678856828202,-0.08010394061193138,44.73718262947516,36.72678856828202,-8.010394061193137
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_spot_MTC,0.3866535128595963,0.5287659199336521,0.14211240707405576,38.66535128595963,52.87659199336521,14.211240707405576
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_futures_LTC,0.19539730934009772,0.6297836516950852,0.4343863423549875,19.53973093400977,62.97836516950852,43.43863423549875
,within_silver,within_metal_cross_scale,3100,2012-01-04,2026-03-31,silver_spot_LTC,0.4533141829460379,0.3360771143663508,-0.11723706857968713,45.33141829460379,33.60771143663508,-11.723706857968713
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_futures_STC,0.8439385200035823,0.846915697468196,0.0029771774646136784,84.39385200035822,84.6915697468196,0.29771774646136784
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_spot_STC,0.8439274384215887,0.8483708100332554,0.0044433716116667465,84.39274384215886,84.83708100332554,0.44433716116667465
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_futures_MTC,0.8904155574921565,0.9005874177575403,0.010171860265383748,89.04155574921565,90.05874177575403,1.0171860265383748
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_spot_MTC,0.8917799778579841,0.8854416408021762,-0.0063383370558078855,89.17799778579841,88.54416408021763,-0.6338337055807886
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_futures_LTC,0.8128066687006515,0.7888950534906738,-0.023911615209977755,81.28066687006516,78.88950534906738,-2.3911615209977755
,within_platinum,within_metal_cross_scale,3100,2012-01-04,2026-03-31,platinum_spot_LTC,0.7983092388026155,0.8109667817267369,0.012657542924121357,79.83092388026155,81.09667817267369,1.2657542924121357
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_futures_STC,0.8811957779404064,0.9089143426003903,0.027718564659983902,88.11957779404064,90.89143426003903,2.77185646599839
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_spot_STC,0.8799476615549854,0.9103518367224002,0.030404175167414782,87.99476615549854,91.03518367224001,3.040417516741478
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_futures_MTC,0.8477524887383442,0.8357406068877544,-0.012011881850589767,84.77524887383441,83.57406068877545,-1.2011881850589767
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_spot_MTC,0.8516363992990198,0.8468099201083485,-0.004826479190671251,85.16363992990198,84.68099201083486,-0.4826479190671251
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_futures_LTC,0.5823018948926225,0.5805304000375077,-0.0017714948551148524,58.23018948926225,58.053040003750766,-0.17714948551148524
,within_palladium,within_metal_cross_scale,3100,2012-01-04,2026-03-31,palladium_spot_LTC,0.6052009618335997,0.565688077902577,-0.0395128839310227,60.520096183359975,56.5688077902577,-3.95128839310227
