lag,aic,bic,n_obs,target,network_id
5,13382.974222646395,13600.325777310669,3095,palladium_spot_STC,same_scale_STC
1,3154.684930793499,3202.995608855801,3099,gold_futures_MTC,same_scale_MTC
2,2924.546529521499,3015.1242098361513,3098,gold_futures_MTC,same_scale_MTC
3,2841.696150529873,2974.536312489284,3097,gold_futures_MTC,same_scale_MTC
4,2660.197420858164,2835.2955416647433,3096,gold_futures_MTC,same_scale_MTC
5,2656.2008878768747,2873.5524425411477,3095,gold_futures_MTC,same_scale_MTC
1,1971.4786844861028,2019.7893625484048,3099,silver_futures_MTC,same_scale_MTC
2,1964.0283322773475,2054.606012592,3098,silver_futures_MTC,same_scale_MTC
3,1536.7488685203452,1669.5890304797558,3097,silver_futures_MTC,same_scale_MTC
4,1529.2730213058485,1704.3711421124274,3096,silver_futures_MTC,same_scale_MTC
5,1418.4433561142614,1635.7949107785344,3095,silver_futures_MTC,same_scale_MTC
1,437.20348169781846,485.51415976012044,3099,platinum_futures_MTC,same_scale_MTC
2,-539.211033886414,-448.63335357176186,3098,platinum_futures_MTC,same_scale_MTC
3,-605.4983313912717,-472.6581694318612,3097,platinum_futures_MTC,same_scale_MTC
4,-620.5364852296125,-445.4383644230336,3096,platinum_futures_MTC,same_scale_MTC
5,-616.8887892123485,-399.5372345480754,3095,platinum_futures_MTC,same_scale_MTC
1,2174.7629316595767,2223.0736097218787,3099,palladium_futures_MTC,same_scale_MTC
2,1679.8315734174894,1770.4092537321417,3098,palladium_futures_MTC,same_scale_MTC
3,1342.5056393873328,1475.3458013467434,3097,palladium_futures_MTC,same_scale_MTC
4,1286.585659843703,1461.683780650282,3096,palladium_futures_MTC,same_scale_MTC
5,1279.6639758776355,1497.0155305419084,3095,palladium_futures_MTC,same_scale_MTC
1,-88.41044725292795,-40.09976919062596,3099,gold_spot_MTC,same_scale_MTC
2,-211.23672351189362,-120.6590431972414,3098,gold_spot_MTC,same_scale_MTC
3,-1197.1848196263136,-1064.344657666903,3097,gold_spot_MTC,same_scale_MTC
4,-1218.3147446165267,-1043.2166238099478,3096,gold_spot_MTC,same_scale_MTC
5,-1319.0964821216576,-1101.7449274573846,3095,gold_spot_MTC,same_scale_MTC
1,4112.226271439265,4160.536949501567,3099,silver_spot_MTC,same_scale_MTC
2,3928.4701615163767,4019.047841831029,3098,silver_spot_MTC,same_scale_MTC
3,3767.9913923888407,3900.8315543482513,3097,silver_spot_MTC,same_scale_MTC
4,3702.134813418208,3877.232934224787,3096,silver_spot_MTC,same_scale_MTC
5,3670.031094676873,3887.382649341146,3095,silver_spot_MTC,same_scale_MTC
1,-267.8358599976991,-219.52518193539714,3099,platinum_spot_MTC,same_scale_MTC
2,-1074.554381782259,-983.9767014676069,3098,platinum_spot_MTC,same_scale_MTC
3,-1275.9655301346584,-1143.1253681752478,3097,platinum_spot_MTC,same_scale_MTC
4,-1285.502425783604,-1110.404304977025,3096,platinum_spot_MTC,same_scale_MTC
5,-1278.7556881182709,-1061.404133453998,3095,platinum_spot_MTC,same_scale_MTC
1,3113.1609042748823,3161.4715823371844,3099,palladium_spot_MTC,same_scale_MTC
2,2308.0521854675235,2398.629865782176,3098,palladium_spot_MTC,same_scale_MTC
3,2130.214228257795,2263.0543902172058,3097,palladium_spot_MTC,same_scale_MTC
4,2050.7978411534896,2225.8959619600687,3096,palladium_spot_MTC,same_scale_MTC
5,2040.7532894831866,2258.1048441474595,3095,palladium_spot_MTC,same_scale_MTC
1,-7280.9028664830585,-7232.592188420756,3099,gold_futures_LTC,same_scale_LTC
2,-7577.993588778616,-7487.415908463964,3098,gold_futures_LTC,same_scale_LTC
3,-9178.694935348965,-9045.854773389556,3097,gold_futures_LTC,same_scale_LTC
4,-10165.693498652112,-9990.595377845533,3096,gold_futures_LTC,same_scale_LTC
5,-10242.052644343094,-10024.70108967882,3095,gold_futures_LTC,same_scale_LTC
1,-9839.575098795285,-9791.264420732983,3099,silver_futures_LTC,same_scale_LTC
2,-10292.878744091777,-10202.301063777124,3098,silver_futures_LTC,same_scale_LTC
3,-12840.90938044036,-12708.06921848095,3097,silver_futures_LTC,same_scale_LTC
4,-13024.099947024468,-12849.00182621789,3096,silver_futures_LTC,same_scale_LTC
5,-13122.25440024836,-12904.902845584085,3095,silver_futures_LTC,same_scale_LTC
1,-6821.385217046689,-6773.074538984387,3099,platinum_futures_LTC,same_scale_LTC
2,-8448.170408537106,-8357.592728222453,3098,platinum_futures_LTC,same_scale_LTC
3,-9472.28575554863,-9339.44559358922,3097,platinum_futures_LTC,same_scale_LTC
4,-10056.611421643942,-9881.513300837363,3096,platinum_futures_LTC,same_scale_LTC
5,-10117.675186499186,-9900.323631834912,3095,platinum_futures_LTC,same_scale_LTC
1,-6702.092974402851,-6653.782296340549,3099,palladium_futures_LTC,same_scale_LTC
2,-7310.096965212291,-7219.519284897639,3098,palladium_futures_LTC,same_scale_LTC
3,-10252.3999356305,-10119.55977367109,3097,palladium_futures_LTC,same_scale_LTC
