network_id,network_type,network_scale,network_metal,source,target,selected_lag_bic,selected_lag_aic,f_stat,p_value,fdr_p_value,significant_5pct,n_obs,full_model_aic,full_model_bic
same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_spot_LTC,5,5,3.972772965207696,0.0013567057313642484,0.0026580357185911805,True,3095,-93189.05269258424,-93122.63971754794
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_futures_LTC,4,4,21.09763599311312,1.585390943021228e-13,8.455418362779883e-13,True,3096,-114537.73119416734,-114483.39039805495
same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_spot_LTC,5,5,7.839602256426588,2.7735802704227967e-06,7.680683825786206e-06,True,3095,-113273.33398325286,-113206.92100821655
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,silver_spot_LTC,5,5,21.648226047772916,2.3186804369948554e-21,2.0868123932953698e-20,True,3095,-87291.23885901019,-87224.82588397388
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,platinum_spot_LTC,5,5,3.534161080871854,0.0034492700927725695,0.006287277131129747,True,3095,-96280.22293678355,-96213.80996174725
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,palladium_spot_LTC,5,5,4.4853267628699545,0.00044790790751042704,0.0009555368693555776,True,3095,-93191.43692141732,-93125.02394638101
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_futures_LTC,5,5,2.8581705112883355,0.022273078962928426,0.03544003724488059,True,3095,-89043.24119298167,-88976.82821794537
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_futures_LTC,4,4,5.0000840704888105,0.0005126736808401314,0.0010777373728610062,True,3096,-129272.03271744642,-129217.69192133403
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_spot_LTC,5,5,3.590755330515094,0.006301044588633856,0.01099818691834273,True,3095,-114337.79332152454,-114271.38034648824
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,palladium_spot_LTC,5,5,9.61201358679682,1.0080440911102236e-07,3.1216849273090796e-07,True,3095,-93214.3881597129,-93147.97518467659
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,gold_futures_LTC,5,5,5.152414328564191,0.00038921116382694294,0.0008428031216703727,True,3095,-89057.36745711611,-88990.9544820798
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_futures_LTC,4,4,26.767751488252543,7.346774312985382e-22,6.825390329483194e-21,True,3096,-129747.05948681277,-129692.71869070038
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_spot_LTC,5,5,3.2924440119531937,0.010584034624271965,0.017825742525089623,True,3095,-93188.35672339737,-93121.94374836107
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_futures_LTC,5,5,3.00399732132355,0.01040166716553322,0.017621647903962163,True,3095,-89046.62454172203,-88980.21156668573
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,silver_futures_LTC,4,4,34.14705775082348,6.307322201972526e-28,8.256858155309487e-27,True,3096,-129628.72696874384,-129574.38617263145
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_futures_LTC,5,5,12.258344361267518,8.627698855643207e-12,3.882464485039443e-11,True,3095,-89205.21490934215,-89138.80193430584
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_spot_LTC,5,5,3.1004881362896413,0.00852802675798091,0.01470701620538025,True,3095,-93184.6725277548,-93118.25955271849
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_futures_LTC,4,4,17.30229411457549,4.7814452494518796e-14,2.7541124636842826e-13,True,3096,-128743.26306880859,-128688.9222726962
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,platinum_futures_LTC,5,5,24.751016575051473,1.5890709113184408e-24,1.6950089720730038e-23,True,3095,-89266.08719482466,-89199.67421978836
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_spot_LTC,5,5,17.639086517691613,2.8652474623084416e-17,1.9405857110234072e-16,True,3095,-87272.04845222122,-87205.63547718491
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_spot_LTC,5,5,5.441958862356842,5.445209215899005e-05,0.00013068502118157612,True,3095,-93196.10556439514,-93129.69258935883
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_futures_LTC,4,4,6.01223673154891,8.12313176141596e-05,0.00019020015831608102,True,3096,-127635.02653130927,-127580.68573519688
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_futures_LTC,5,5,3.7164445615766453,0.002345030944003068,0.004472641800482673,True,3095,-89162.94335190159,-89096.53037686528
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,palladium_futures_LTC,5,5,6.368872636463493,6.822711672390597e-06,1.8363934221013944e-05,True,3095,-118044.79468290712,-117978.38170787081
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_spot_LTC,5,5,5.568029291555286,4.112374522224004e-05,0.00010036981884750112,True,3095,-87212.42275576711,-87146.0097807308
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_spot_LTC,5,5,3.479280140530318,0.0038719325915726197,0.006883435718351324,True,3095,-96279.96288454502,-96213.54990950871
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_STC,5,5,77.52976374550536,8.757919799925286e-77,2.8025343359760914e-75,True,3095,8327.654801237262,8394.067776273569
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_futures_MTC,5,5,23.578798477028464,2.488763388884694e-23,2.389212853329306e-22,True,3095,-12626.557768374594,-12560.144793338288
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_MTC,5,5,6.001811346486636,1.5583289950780125e-05,4.0071317016291754e-05,True,3095,-28651.543055012466,-28585.13007997616
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_futures_STC,5,5,20.91092149633386,1.3111775263904003e-20,1.0205922367579333e-19,True,3095,8161.601722592044,8228.01469762835
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_futures_MTC,5,5,29.54208550651854,2.1247441652596224e-29,3.399590664415396e-28,True,3095,-12655.24542818602,-12588.832453149713
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_spot_MTC,5,5,11.005896707611985,1.5996159544093615e-10,6.061702564077581e-10,True,3095,-28676.311376443373,-28609.898401407067
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_futures_STC,5,5,17.634337084345287,2.897402276875226e-17,1.9405857110234072e-16,True,3095,8177.544950948512,8243.957925984818
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_spot_STC,5,5,95.79331412775207,4.7327844748965783e-94,4.543473095900716e-92,True,3095,8247.296656971235,8313.709632007542
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_spot_MTC,5,5,10.31006939260762,8.061394004326603e-10,2.8313188698122704e-09,True,3095,-28672.879137443233,-28606.466162406927
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_futures_LTC,5,5,14.22454925804963,8.668954424010981e-14,4.710677120972005e-13,True,3095,-89102.15356961034,-89035.74059457403
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_STC,5,5,5.138212058390172,0.00010681081727762997,0.00024807673690288253,True,3095,8239.113921721804,8305.52689675811
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_spot_STC,5,5,5.928001053531716,1.8389373870152203e-05,4.64573655667003e-05,True,3095,8664.505884225302,8730.918859261608
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_MTC,5,5,133.98376069247632,7.887640342839782e-129,1.1358202093689285e-126,True,3095,-13118.841663258667,-13052.42868822236
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_LTC,5,5,4.154725087747968,0.0009172612046925237,0.0018473512374227053,True,3095,-89052.36554961048,-88985.95257457417
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_spot_MTC,5,5,5.296181401237845,7.527533233335738e-05,0.00017916773315708204,True,3095,-28648.064629590757,-28581.65165455445
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_spot_LTC,5,5,3.8728968915063886,0.0016801698480409001,0.003225926108238528,True,3095,-114446.22558861026,-114379.81261357396
