network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,NPDC
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_futures_LTC,6.022255421989224,0.023830561814723886,5.9984248601745005
within_gold,within_metal_cross_scale,,gold,gold_spot_STC,gold_spot_LTC,4.179527356310006,0.04009948251651709,4.139427873793489
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_futures_STC,1.3304489764746508,10.103729891413119,-8.773280914938468
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_spot_STC,7.2454883397654015,15.672954567216385,-8.427466227450983
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_spot_MTC,56.401876807229065,45.82524495834719,10.576631848881874
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_futures_LTC,7.392805481559075,0.7492786335273527,6.643526848031723
within_gold,within_metal_cross_scale,,gold,gold_futures_MTC,gold_spot_LTC,2.8419136596279517,0.13504631988449103,2.706867339743461
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_STC,0.5983098151404618,5.252183859322181,-4.65387404418172
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_spot_STC,2.0940447516083243,10.795248076636664,-8.70120332502834
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_MTC,45.82524495834719,56.401876807229065,-10.576631848881874
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_futures_LTC,9.808941212886344,3.2307399626824234,6.578201250203921
within_gold,within_metal_cross_scale,,gold,gold_spot_MTC,gold_spot_LTC,4.034459580999513,1.066601562989926,2.9678580180095873
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_futures_STC,0.015211739501448225,5.530269488963515,-5.515057749462066
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_spot_STC,0.023830561814723886,6.022255421989224,-5.9984248601745005
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_futures_MTC,0.7492786335273527,7.392805481559075,-6.643526848031723
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_spot_MTC,3.2307399626824234,9.808941212886344,-6.578201250203921
within_gold,within_metal_cross_scale,,gold,gold_futures_LTC,gold_spot_LTC,50.98750242117609,40.98908592371613,9.998416497459957
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,gold_futures_STC,0.056716570254746565,4.999176213224539,-4.9424596429697925
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,gold_spot_STC,0.04009948251651709,4.179527356310006,-4.139427873793489
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,gold_futures_MTC,0.13504631988449103,2.8419136596279517,-2.706867339743461
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,gold_spot_MTC,1.066601562989926,4.034459580999513,-2.9678580180095873
within_gold,within_metal_cross_scale,,gold,gold_spot_LTC,gold_futures_LTC,40.98908592371613,50.98750242117609,-9.998416497459957
