network_id,network_type,network_scale,network_metal,target,source,lag,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,4,5,0.0014126684256798646,0.14126684256798647
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,5,5,0.0023756973636167,0.23756973636167
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,1,5,0.00932675106854096,0.932675106854096
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,2,5,0.005166179133918444,0.5166179133918444
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,3,5,0.00361647769008095,0.36164776900809503
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,4,5,0.0008601038995138275,0.08601038995138276
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,5,5,0.00048083336210462846,0.048083336210462846
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,1,5,0.0014631323282369773,0.14631323282369774
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,2,5,0.0009807210339497804,0.09807210339497804
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,3,5,0.000863514979241889,0.08635149792418889
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,4,5,0.00065842999981454,0.065842999981454
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,5,5,0.002171462516228819,0.21714625162288193
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,1,5,0.005474686278982436,0.5474686278982437
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,2,5,0.0018567070206139736,0.18567070206139735
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,3,5,0.002344909958219735,0.2344909958219735
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,4,5,0.0020352469784739396,0.20352469784739396
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,5,5,0.004387980948056328,0.43879809480563287
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,1,5,0.0034075285344032052,0.3407528534403205
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,2,5,0.0013723357128863382,0.1372335712886338
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,3,5,0.0016752472561527376,0.16752472561527376
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,4,5,0.0014706077192517125,0.14706077192517125
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,5,5,0.000626663341910257,0.0626663341910257
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,1,5,0.0013552411524402111,0.1355241152440211
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,2,5,0.0014394950973658077,0.14394950973658077
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,3,5,0.0010602034080687195,0.10602034080687195
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,4,5,0.0006603499034238323,0.06603499034238323
