date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,strict_r2g_NPDC,pca_NPDC,strict_minus_pca_NPDC
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,palladium_futures_STC,58.13533279941468,58.36282979249068,-0.22749699307600224,1.0559433770139626,-1.2834403700899648
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,gold_spot_STC,2.788386600416655,2.924453450209027,-0.13606684979237205,0.3441298379061791,-0.4801966876985512
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,silver_spot_STC,3.960262491811369,4.147397265270395,-0.18713477345902563,1.602110609574746,-1.7892453830337716
,3100,2012-01-04,2026-03-31,same_scale_STC,same_scale_cross_metal,STC,,palladium_spot_STC,platinum_spot_STC,9.516852695385602,9.755686808109893,-0.238834112724291,-3.992098800925234,3.753264688200943
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_futures_MTC,0.5540042768664265,0.4862469964357204,0.06775728043070611,-1.0652669527779792,1.1330242332086853
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_futures_MTC,3.8233612456360073,3.7233669910238403,0.09999425461216704,5.202667405951806,-5.102673151339639
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_futures_MTC,1.5115586693629122,1.543008079102833,-0.03144940973992094,1.8820355869931589,-1.9134849967330798
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,gold_spot_MTC,24.90311174233583,27.177379609732995,-2.274267867397164,-2.256324582945436,-0.01794328445172777
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,silver_spot_MTC,7.00605143754314,7.58118286444429,-0.5751314269011498,2.2055246256914915,-2.7806560525926414
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,platinum_spot_MTC,3.562105630653836,3.459056311214271,0.10304931943956497,5.512072375285723,-5.409023055846158
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_futures_MTC,palladium_spot_MTC,2.416452253596708,2.6677416884250977,-0.2512894348283896,4.272597675893516,-4.523887110721905
