date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,target,source,r2g,r2g_percent
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_spot_MTC,0.0332942335516774,3.32942335516774
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,silver_spot_MTC,0.030215289471955918,3.0215289471955917
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_spot_MTC,0.017402167573804406,1.7402167573804406
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_spot_MTC,0.005515079020480101,0.5515079020480101
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_futures_MTC,0.038233612456360075,3.8233612456360073
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_futures_MTC,0.011122882238227091,1.1122882238227092
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_futures_MTC,0.06703191528283527,6.703191528283527
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_spot_MTC,0.062429039299086164,6.242903929908616
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_spot_MTC,0.181996413734206,18.1996413734206
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,platinum_spot_MTC,0.4463290135063451,44.632901350634505
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_spot_MTC,0.06337475150982004,6.337475150982004
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_futures_MTC,0.015115586693629121,1.5115586693629122
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_futures_MTC,0.008772550625243312,0.8772550625243313
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_futures_MTC,0.06671686830719656,6.671686830719656
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_spot_MTC,0.02935938351557012,2.935938351557012
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_spot_MTC,0.036675830081273036,3.6675830081273038
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_spot_MTC,0.08066826123807706,8.066826123807706
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,palladium_spot_MTC,0.579965118344431,57.9965118344431
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,gold_futures_MTC,0.24903111742335832,24.90311174233583
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_futures_MTC,0.02788371336663427,2.788371336663427
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_futures_MTC,0.05775447010262303,5.775447010262303
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_futures_MTC,0.02759102178492968,2.759102178492968
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,silver_spot_MTC,0.16034489109814465,16.034489109814466
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,platinum_spot_MTC,0.0580790553665078,5.80790553665078
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,gold_spot_MTC,palladium_spot_MTC,0.02151600771527827,2.151600771527827
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_futures_MTC,0.0700605143754314,7.00605143754314
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,silver_futures_MTC,0.026310211886133902,2.6310211886133903
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_futures_MTC,0.17355240130838911,17.35524013083891
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_futures_MTC,0.03390639529973153,3.390639529973153
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,gold_spot_MTC,0.15651683027072524,15.651683027072524
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,platinum_spot_MTC,0.1711105231276095,17.11105231276095
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_spot_MTC,palladium_spot_MTC,0.0338340630540195,3.3834063054019503
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_futures_MTC,0.03562105630653836,3.562105630653836
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_futures_MTC,0.01573580600283396,1.573580600283396
