date,original,emd_reconstructed,emd_error,gold_spot_STC,gold_spot_MTC,gold_spot_LTC,scale_reconstructed,scale_error
2024-01-11,0.2272175962173328,0.227217596217333,1.942890293094024e-16,0.3747306655619176,0.0434782092187331,-0.1909912785633179,0.22721759621733276,-5.551115123125783e-17
2024-01-16,-0.0320406968881137,-0.03204069688811342,2.8449465006019636e-16,0.4539580963093768,-0.2970469700229081,-0.1889518231745824,-0.0320406968881137,0.0
2024-01-17,-1.0947897296205156,-1.0947897296205154,2.220446049250313e-16,-0.6714033958156165,-0.2733181691222143,-0.1500681646826848,-1.0947897296205156,0.0
2024-01-18,0.839329596098537,0.8393295960985371,1.1102230246251565e-16,0.6059004261818897,0.3130105700567362,-0.0795814001400888,0.8393295960985372,2.220446049250313e-16
2024-01-22,-0.0754051827962065,-0.07540518279620669,-1.8041124150158794e-16,-0.5044986448354236,0.4290362181142573,5.72439249598225e-05,-0.0754051827962065,0.0
2024-01-23,0.3759658135577659,0.3759658135577657,-2.220446049250313e-16,0.4515452656629581,-0.1502281091645625,0.0746486570593702,0.3759658135577658,-1.1102230246251565e-16
2024-01-24,-0.7543435048702918,-0.7543435048702918,0.0,-0.4105382598121077,-0.4922002859675253,0.1483950409093413,-0.7543435048702917,1.1102230246251565e-16
2024-01-25,0.340530058502253,0.3405300585022529,-1.1102230246251565e-16,0.3929355437828646,-0.2753455176656928,0.2229400323850811,0.3405300585022529,-1.1102230246251565e-16
2024-01-29,0.5913068000403143,0.5913068000403141,-2.220446049250313e-16,0.1563065756641362,0.1606824159947965,0.2743178083813815,0.5913068000403141,-2.220446049250313e-16
2024-01-30,0.2007462929812575,0.20074629298125754,2.7755575615628914e-17,-0.5265807874100561,0.4575570304796942,0.2697700499116194,0.2007462929812575,0.0
2024-01-31,0.1285410281685273,0.12854102816852717,-1.3877787807814457e-16,-0.4341720323720132,0.3783726527553222,0.1843404077852182,0.12854102816852725,-5.551115123125783e-17
2024-02-01,0.753198043204506,0.7531980432045063,3.3306690738754696e-16,0.8321390356915691,-0.1096007212501434,0.0306597287630805,0.7531980432045062,2.220446049250313e-16
2024-02-05,-1.4617334104178423,-1.4617334104178417,6.661338147750939e-16,-0.8550833308198716,-0.4512451149582637,-0.1554049646397066,-1.461733410417842,2.220446049250313e-16
2024-02-06,0.5358008691382032,0.5358008691382032,0.0,0.8237876438479326,0.0418683063100063,-0.3298550810197357,0.5358008691382031,-1.1102230246251565e-16
2024-02-07,-0.0444586916080957,-0.04445869160809568,2.0816681711721685e-17,-0.0950435323512415,0.4815106572346267,-0.430925816491481,-0.04445869160809579,-9.020562075079397e-17
2024-02-08,-0.0326811441309082,-0.032681144130908286,-8.326672684688674e-17,0.2857240264196924,0.0962870533320616,-0.4146922238826622,-0.03268114413090817,3.469446951953614e-17
2024-02-12,-0.7125419990441806,-0.7125419990441809,-3.3306690738754696e-16,0.0857221725447148,-0.471855675404768,-0.3264084961841276,-0.7125419990441808,-2.220446049250313e-16
2024-02-13,-1.335087406443236,-1.3350874064432363,-2.220446049250313e-16,-0.5162191029873398,-0.5890700851701481,-0.2297982182857482,-1.335087406443236,0.0
2024-02-14,-0.0449117391528197,-0.04491173915282001,-3.122502256758253e-16,0.156946882736275,-0.039396646319827,-0.1624619755692677,-0.04491173915281971,-6.938893903907228e-18
2024-02-15,0.5980026077684109,0.5980026077684104,-4.440892098500626e-16,0.1281675460451768,0.5874587027630872,-0.1176236410398533,0.5980026077684106,-2.220446049250313e-16
2024-02-20,0.9946378945903334,0.9946378945903334,0.0,0.2915153935383654,0.7806817359181357,-0.0775592348661677,0.9946378945903335,1.1102230246251565e-16
2024-02-21,0.0869043588344276,0.08690435883442732,-2.7755575615628914e-16,-0.3984183378003509,0.5040641995701438,-0.0187415029353653,0.0869043588344276,0.0
2024-02-22,-0.0812236422722101,-0.08122364227221046,-3.608224830031759e-16,-0.1348486066765971,-0.0421796624587708,0.0958046268631578,-0.0812236422722101,0.0
2024-02-26,0.3336077449298535,0.3336077449298531,-3.885780586188048e-16,0.5739038723884858,-0.546621450466262,0.3063253230076296,0.33360774492985346,-5.551115123125783e-17
2024-02-27,-0.044072007971696,-0.04407200797169649,-4.926614671774132e-16,0.0710101877306909,-0.7657300016679363,0.6506478059655493,-0.04407200797169608,-8.326672684688674e-17
2024-02-28,0.2066502737943842,0.20665027379438378,-4.163336342344337e-16,-0.2411250939495289,-0.6719698937582641,1.1197452615021772,0.20665027379438428,8.326672684688674e-17
2024-02-29,0.4744150128768609,0.47441501287686055,-3.3306690738754696e-16,-1.0899729637064766,0.003282352011475,1.5611056245718626,0.47441501287686116,2.7755575615628914e-16
2024-03-04,3.3873422848095025,3.387342284809503,4.440892098500626e-16,1.059161223387309,0.5639460780389238,1.7642349833832704,3.3873422848095034,8.881784197001252e-16
2024-03-05,0.6187591561614525,0.6187591561614523,-2.220446049250313e-16,-0.941891932100032,-0.0160846120943016,1.576735700355786,0.6187591561614525,0.0
2024-03-06,0.9406914238825336,0.9406914238825334,-2.220446049250313e-16,0.1952281523701735,-0.357624847992786,1.1030881195051458,0.9406914238825334,-2.220446049250313e-16
