date,original,emd_reconstructed,emd_error,platinum_spot_STC,platinum_spot_MTC,platinum_spot_LTC,scale_reconstructed,scale_error
2012-01-26,1.7571835869634178,1.7571835869634174,-4.440892098500626e-16,1.00245027483693,0.156373245563208,0.5983600665632798,1.7571835869634178,0.0
2012-01-27,0.7313779967651257,0.7313779967651256,-1.1102230246251565e-16,0.2410335068641256,-0.0011635163398965,0.4915080062408967,0.7313779967651258,1.1102230246251565e-16
2012-01-30,-0.6070385340562368,-0.6070385340562371,-3.3306690738754696e-16,-0.7840617248625472,-0.2026072378187881,0.3796304286250984,-0.607038534056237,-2.220446049250313e-16
2012-01-31,-1.5086830335807375,-1.5086830335807382,-6.661338147750939e-16,-1.5864524962832085,-0.225293930109138,0.3030633928116085,-1.5086830335807382,-6.661338147750939e-16
2012-02-01,1.7878828426838744,1.7878828426838744,0.0,1.5637180819416654,-0.0555090157584896,0.2796737765006988,1.7878828426838744,0.0
2012-02-02,0.8329525252829484,0.832952525282948,-3.3306690738754696e-16,0.4346991538265953,0.103129737527631,0.2951236339287221,0.8329525252829484,0.0
2012-02-03,-0.5854276464287267,-0.5854276464287266,1.1102230246251565e-16,-1.1320986003492717,0.2295080172387398,0.3171629366818054,-0.5854276464287265,2.220446049250313e-16
2012-02-06,0.3393493924463975,0.3393493924463973,-2.220446049250313e-16,-0.3214000941738755,0.3512967311710435,0.3094527554492294,0.3393493924463974,-1.1102230246251565e-16
2012-02-07,1.4978118926516792,1.497811892651679,-2.220446049250313e-16,0.804952843532214,0.4422353833120691,0.2506236658073963,1.4978118926516795,2.220446049250313e-16
2012-02-08,0.8459264945976486,0.8459264945976485,-1.1102230246251565e-16,0.2710341380053876,0.4359978189467021,0.1388945376455588,0.8459264945976486,0.0
2012-02-09,-0.4220687604230555,-0.4220687604230555,0.0,-0.6702574417439287,0.2499408185070314,-0.0017521371861581,-0.4220687604230553,2.220446049250313e-16
2012-02-10,0.1207729615399166,0.1207729615399167,1.1102230246251565e-16,0.4048799790928535,-0.1665019165618144,-0.1176051009911224,0.1207729615399167,1.1102230246251565e-16
2012-02-13,-0.453652675792604,-0.45365267579260427,-2.7755575615628914e-16,0.2752911256622507,-0.5852140005530477,-0.143729800901807,-0.45365267579260404,-5.551115123125783e-17
2012-02-14,-1.434920056088096,-1.4349200560880957,2.220446049250313e-16,-0.6375079254182778,-0.7804426036178238,-0.0169695270519936,-1.4349200560880953,6.661338147750939e-16
2012-02-15,0.3070312513258066,0.3070312513258065,-1.1102230246251565e-16,0.709388397512967,-0.7095137668023724,0.307156620615212,0.30703125132580655,-5.551115123125783e-17
2012-02-16,-0.6458580039411466,-0.6458580039411466,0.0,-0.6261553890163731,-0.8096219457652124,0.789919330840439,-0.6458580039411465,1.1102230246251565e-16
2012-02-17,0.480178218857219,0.4801782188572189,-1.1102230246251565e-16,-0.1617676120199622,-0.6521203636603057,1.294066194537487,0.480178218857219,0.0
2012-02-20,0.9778235950006042,0.9778235950006041,-1.1102230246251565e-16,-1.221321547609104,0.5395023947022952,1.6596427479074132,0.9778235950006045,2.220446049250313e-16
