date,original,emd_reconstructed,emd_error,silver_spot_STC,silver_spot_MTC,silver_spot_LTC,scale_reconstructed,scale_error
2012-04-24,0.1944265032431058,0.19442650324310604,2.220446049250313e-16,0.9739396950129404,-0.2743635469300738,-0.5051496448397605,0.19442650324310606,2.498001805406602e-16
2012-04-25,-0.6495638298845474,-0.6495638298845474,0.0,-0.8692083906960248,0.6612009263398884,-0.4415563655284109,-0.6495638298845474,0.0
2012-04-26,0.972770316801208,0.972770316801208,0.0,0.4291164014318314,0.9175537500721622,-0.3738998347027857,0.9727703168012078,-1.1102230246251565e-16
2012-04-27,0.7714599495330265,0.7714599495330267,1.1102230246251565e-16,0.453874738734538,0.6618607803653144,-0.3442755695668257,0.7714599495330267,1.1102230246251565e-16
2012-04-30,-0.9006172164382154,-0.9006172164382154,0.0,-0.6759514637603126,0.1443148621397294,-0.3689806148176323,-0.9006172164382154,0.0
2012-05-01,-0.1940492200114718,-0.19404922001147157,2.220446049250313e-16,0.6466467460400815,-0.4083782150841522,-0.4323177509674011,-0.19404922001147173,5.551115123125783e-17
2012-05-02,-1.0086306429573977,-1.0086306429573975,2.220446049250313e-16,-0.0424285694240853,-0.4527777746147149,-0.5134242989185975,-1.0086306429573977,0.0
2012-05-03,-1.7483539519699498,-1.7483539519699494,4.440892098500626e-16,-1.1343928820182343,-0.0254550008960041,-0.588506069055711,-1.7483539519699494,4.440892098500626e-16
2012-05-04,0.9604312939169636,0.960431293916964,4.440892098500626e-16,1.2104676865579562,0.3956539369889458,-0.6456903296299382,0.9604312939169638,2.220446049250313e-16
2012-05-07,-1.0603147715070538,-1.0603147715070536,2.220446049250313e-16,-0.5198364960822849,0.1623467099223811,-0.7028249853471499,-1.0603147715070538,0.0
2012-05-08,-1.916991610772012,-1.9169916107720122,-2.220446049250313e-16,-0.9078118840400452,-0.1612936777585149,-0.8478860489734521,-1.9169916107720122,-2.220446049250313e-16
2012-05-09,-0.7327288469961779,-0.7327288469961779,0.0,0.3297713263795006,0.0677249192517643,-1.1302250926274429,-0.732728846996178,-1.1102230246251565e-16
2012-05-10,-0.7071291308076155,-0.7071291308076156,-1.1102230246251565e-16,0.1978365021927622,0.5274740539036405,-1.4324396869040186,-0.7071291308076159,-3.3306690738754696e-16
2012-05-11,-0.5180642933208635,-0.5180642933208636,-1.1102230246251565e-16,0.7021308185267479,0.3580419027872314,-1.5782370146348428,-0.5180642933208635,0.0
2012-05-14,-2.6278064884583507,-2.6278064884583503,4.440892098500626e-16,-0.6686426546405237,-0.4966919121740363,-1.4624719216437898,-2.62780648845835,8.881784197001252e-16
2012-05-15,-1.5404209308472971,-1.5404209308472974,-2.220446049250313e-16,0.5462348416890626,-1.0525312355520475,-1.0341245369843124,-1.5404209308472974,-2.220446049250313e-16
2012-05-16,-1.8951004470295183,-1.895100447029518,2.220446049250313e-16,-1.3963658129658854,-0.1710959267571481,-0.3276387073064845,-1.895100447029518,2.220446049250313e-16
2012-05-17,3.008018054901962,3.008018054901963,8.881784197001252e-16,1.5156877584512598,1.1071176830221972,0.3852126134285054,3.0080180549019624,4.440892098500626e-16
2012-05-18,2.4196150957964235,2.4196150957964235,0.0,0.5840935477130011,1.020862151489598,0.8146593965938244,2.4196150957964235,0.0
2012-05-21,-0.7906838940034966,-0.790683894003496,5.551115123125783e-16,-1.5813131819175927,-0.0779991063139599,0.8686283942280562,-0.7906838940034966,0.0
2012-05-22,-1.0948370000104737,-1.094837000010474,-2.220446049250313e-16,-0.7560176681855614,-0.9830264690583044,0.6442071372333918,-1.094837000010474,-2.220446049250313e-16
2012-05-23,-1.4918975170601367,-1.4918975170601367,0.0,-1.209120494502658,-0.5675575142905792,0.2847804917331004,-1.4918975170601367,0.0
2012-05-24,1.987824852995157,1.987824852995157,0.0,1.67456365218685,0.3417847096693227,-0.0285235088610157,1.9878248529951572,2.220446049250313e-16
2012-05-25,0.6796638422258194,0.6796638422258194,0.0,0.2632664298908401,0.5379102948219516,-0.1215128824869722,0.6796638422258194,0.0
2012-05-28,-0.4396693739598056,-0.4396693739598056,0.0,-0.5915183309037879,0.0944646635241154,0.0573842934198668,-0.4396693739598057,-1.1102230246251565e-16
2012-05-30,-1.652753940341256,-1.6527539403412561,-2.220446049250313e-16,-1.729404866512685,-0.3194986932977371,0.3961496194691662,-1.652753940341256,0.0
2012-05-31,-0.9108481960095728,-0.9108481960095729,-1.1102230246251565e-16,-1.255243715228182,-0.4008413503291129,0.7452368695477222,-0.9108481960095726,2.220446049250313e-16
2012-06-01,2.992742054147301,2.992742054147301,0.0,2.158776897551096,-0.1561199093253118,0.9900850659215166,2.9927420541473007,-4.440892098500626e-16
2012-06-04,-0.9876623495911564,-0.9876623495911565,-1.1102230246251565e-16,-2.3664234733388763,0.3230329495965129,1.0557281741512066,-0.9876623495911567,-3.3306690738754696e-16
2012-06-05,0.917437627604123,0.917437627604123,0.0,-0.5089201553679776,0.532514731166553,0.8938430518055476,0.917437627604123,0.0
2012-06-06,3.2007709376678406,3.20077093766784,-4.440892098500626e-16,2.4628457352427486,0.2152999575605186,0.5226252448645727,3.20077093766784,-4.440892098500626e-16
2012-06-07,-2.797650595069001,-2.7976505950690003,8.881784197001252e-16,-2.3473269437500446,-0.53711997017262,0.0867963188536636,-2.797650595069001,0.0
2012-06-08,-0.3504471783575713,-0.3504471783575713,0.0,0.4775766862112654,-0.5822988583173322,-0.2457250062515045,-0.3504471783575713,0.0
2012-06-11,0.3329539569362438,0.33295395693624374,-5.551115123125783e-17,0.722998533846106,0.0030422761512449,-0.3930868530611072,0.3329539569362437,-1.1102230246251565e-16
2012-06-12,1.2517548701616477,1.2517548701616483,6.661338147750939e-16,1.3094898878136552,0.3398794433863773,-0.3976144610383844,1.251754870161648,4.440892098500626e-16
2012-06-13,-0.2421727528494344,-0.2421727528494342,1.942890293094024e-16,-0.2178562421166584,0.3296599755757321,-0.3539764863085081,-0.24217275284943438,2.7755575615628914e-17
2012-06-14,-0.831294677801564,-0.8312946778015641,-1.1102230246251565e-16,-0.7533045197017492,0.3180053279902656,-0.3959954860900805,-0.8312946778015641,-1.1102230246251565e-16
2012-06-15,0.0628491640799921,0.06284916407999226,1.6653345369377348e-16,0.138383466195258,0.5319741527890108,-0.6075084549042767,0.06284916407999208,-1.3877787807814457e-17
2012-06-18,0.3971300418958101,0.39713004189581036,2.7755575615628914e-16,0.644455883140318,0.676494138919048,-0.923819980163556,0.3971300418958099,-1.6653345369377348e-16
2012-06-19,-1.2524652947495607,-1.2524652947495603,4.440892098500626e-16,-0.2073198710001662,0.1728189993628943,-1.2179644231122886,-1.2524652947495605,2.220446049250313e-16
2012-06-20,-1.222011133477574,-1.222011133477574,0.0,1.2420486011210556,-1.060020092967756,-1.4040396416308738,-1.222011133477574,0.0
2012-06-21,-4.307417239076372,-4.307417239076371,8.881784197001252e-16,-1.57326027253997,-1.3036523429438225,-1.4305046235925791,-4.307417239076372,0.0
