date,original,emd_reconstructed,emd_error,gold_futures_STC,gold_futures_MTC,gold_futures_LTC,scale_reconstructed,scale_error
2022-03-29,-1.4330463308096952,-1.433046330809695,2.220446049250313e-16,-1.3666652236720005,0.0801511718344536,-0.1465322789721481,-1.433046330809695,2.220446049250313e-16
2022-03-30,1.2421228743773938,1.242122874377394,2.220446049250313e-16,1.131601262877839,0.3332904759144797,-0.2227688644149248,1.2421228743773938,0.0
2022-03-31,0.7717675680734004,0.7717675680734007,3.3306690738754696e-16,0.780231090033891,0.1983109988726652,-0.2067745208331558,0.7717675680734004,0.0
2022-04-04,-1.056248066133847,-1.0562480661338467,2.220446049250313e-16,-0.738667470683928,-0.2092394379052924,-0.1083411575446263,-1.0562480661338467,2.220446049250313e-16
2022-04-05,-0.3372509487544306,-0.3372509487544305,1.1102230246251565e-16,0.0957391259490361,-0.4752527091272252,0.0422626344237584,-0.33725094875443073,-1.1102230246251565e-16
2022-04-06,-0.2289402113445859,-0.2289402113445858,8.326672684688674e-17,-0.1834226102483223,-0.255782227271698,0.2102646261754344,-0.22894021134458592,-2.7755575615628914e-17
2022-04-07,0.7783351870916277,0.7783351870916277,0.0,0.3132888588922264,0.1106161143102232,0.3544302138891782,0.7783351870916277,0.0
2022-04-11,0.5361113928205263,0.5361113928205263,0.0,-0.325836099657105,0.4321077822183516,0.4298397102592797,0.5361113928205263,0.0
2022-04-12,1.4343200746936624,1.4343200746936626,2.220446049250313e-16,0.3979186278300881,0.6427567887099024,0.3936446581536717,1.4343200746936622,-2.220446049250313e-16
2022-04-13,0.4399390170719108,0.43993901707191074,-5.551115123125783e-17,-0.2075894914666501,0.423926374250963,0.2236021342875979,0.43993901707191085,5.551115123125783e-17
2022-04-18,0.0857395084676859,0.08573950846768591,1.3877787807814457e-17,0.157340978118547,-0.0291268707730513,-0.0424745988778098,0.08573950846768591,1.3877787807814457e-17
2022-04-19,-1.3858441547712983,-1.385844154771298,2.220446049250313e-16,-0.8571645566052271,-0.1815969457859526,-0.3470826523801186,-1.385844154771298,2.220446049250313e-16
2022-04-20,-0.1739486778529198,-0.1739486778529194,3.885780586188048e-16,0.7944285815324728,-0.3473989944612342,-0.6209782649241583,-0.17394867785291973,5.551115123125783e-17
2022-04-21,-0.3847835853396653,-0.3847835853396652,5.551115123125783e-17,1.0746172988805691,-0.6586743228251578,-0.8007265613950766,-0.3847835853396653,0.0
2022-04-25,-2.714627317703666,-2.714627317703666,0.0,-1.1468498981251725,-0.716870428295066,-0.8509069912834276,-2.714627317703666,0.0
2022-04-26,0.4321710110010812,0.4321710110010816,3.885780586188048e-16,1.0395301673909358,0.1625634937670713,-0.7699226501569258,0.43217101100108124,5.551115123125783e-17
2022-04-27,-0.8290914336737565,-0.829091433673756,4.440892098500626e-16,-0.91731175353871,0.7066423612877338,-0.6184220414227802,-0.8290914336737564,1.1102230246251565e-16
2022-04-28,0.2912289262831713,0.29122892628317165,3.3306690738754696e-16,0.7747086477797744,-0.0232184244122259,-0.4602612970843771,0.2912289262831715,1.6653345369377348e-16
2022-05-02,-1.475432235176655,-1.4754322351766547,2.220446049250313e-16,-0.6357518681680657,-0.5266127599585587,-0.3130676070500305,-1.475432235176655,0.0
2022-05-03,0.3749134057808412,0.3749134057808413,1.1102230246251565e-16,0.5585995191586216,0.0015224114626582,-0.1852085248404385,0.3749134057808413,1.1102230246251565e-16
2022-05-04,-0.0962721366541963,-0.0962721366541961,2.0816681711721685e-16,-0.3449480917525226,0.3440407287498196,-0.0953647736514933,-0.0962721366541963,0.0
2022-05-05,0.3685409432387487,0.36854094323874903,3.3306690738754696e-16,0.4926508361043176,-0.0555990331644689,-0.0685108597010999,0.3685409432387488,1.1102230246251565e-16
2022-05-09,-0.9158406943057252,-0.9158406943057249,3.3306690738754696e-16,-0.5826258766362737,-0.1947853328414587,-0.1384294848279926,-0.9158406943057251,1.1102230246251565e-16
