target,target_type,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_within_gold,ar_residual,ARX,ARX_ElasticNet,arx_external_plus_target_lags,-1.0464512208748236,0.7304083818533709,0.5320990934325275,0.13194358951586155,0.408248790403878,0.12051773010748253,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-2.045103012591864,-0.14299425462905896,-0.13763412874145053
tci_within_gold,ar_residual,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-0.06473283840091952,0.0745564886594531,0.39630698943240034,0.12143550159786652,0.27678870499074654,0.08735743755234805,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.06338463011796,-0.007202150628931814,-0.0061740433283190566
tci_within_gold,ar_residual,ARX,ARX_RandomForest,arx_external_plus_target_lags,-0.06340897102934766,0.044024034054937156,0.3937470724975465,0.10750355995385355,0.27455907474520114,0.07188025531829695,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.062060762746388,-0.004642233694077957,-0.003944413082773657
tci_within_gold,ar_residual,ARX,ARX_Ridge,arx_external_plus_target_lags,-2.9364098698960475,0.87146972089879,0.7483297068705067,0.19065204853279005,0.6082272765706499,0.2020044155693162,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-3.935061661613088,-0.3592248680670382,-0.3376126149082224
tci_within_gold,ar_residual,Exog,Exog_ElasticNet,external_only,-0.6956879979172296,0.18498885623500544,0.4960661165574931,0.1360019953873967,0.36846783094003793,0.1191850655045678,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.69433978963427,-0.10696127775402459,-0.09785316927761045
tci_within_gold,ar_residual,Exog,Exog_ExtraTrees,external_only,-0.09906039914195859,0.09676433825671982,0.4027316411066845,0.12546404016490653,0.2834999457265474,0.09024329393609577,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.097712190858999,-0.013626802303216001,-0.012885284064119928
tci_within_gold,ar_residual,Exog,Exog_RandomForest,external_only,-0.06684361163044035,0.03481416565596267,0.3945235007567948,0.10802813810448256,0.274067018375711,0.0732448461404399,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.0654954033474808,-0.005418661953326298,-0.003452356713283533
tci_within_gold,ar_residual,Exog,Exog_Ridge,external_only,-2.949590642890563,3.5061798429917985,0.6593206657579572,0.12422887560026508,0.4934692332348574,0.07386963994760198,0.3822351969723467,0.10486985654246067,0.9986517917170404,0.3891048388034685,0.2706146616624275,-3.9482424346076037,-0.2702158269544887,-0.22285457157242994
tci_within_gold,delta20,AR,AR_Ridge,target_lags,0.9960267068924056,0.0009310053608021042,0.3498957815514136,0.07599807273749401,0.23898002850618136,0.05066995680844727,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,0.0,0.0,0.0
tci_within_gold,delta20,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9842793117504446,0.006283866842776577,0.7027103709338851,0.272001059320428,0.5531238083460822,0.2725715993031339,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-0.011747395141960992,-0.3528145893824715,-0.3141437798399008
tci_within_gold,delta20,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,0.19615527543996195,0.06818787741171316,5.025819927039506,1.2187125080090802,4.137689349304368,1.0356668117486505,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-0.7998714314524437,-4.675924145488092,-3.8987093207981864
tci_within_gold,delta20,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.33949700217454515,0.20262514930861647,4.515044539720766,1.2141963572186767,3.5588536232940275,0.8841283324527892,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-0.6565297047178604,-4.1651487581693525,-3.3198735947878464
tci_within_gold,delta20,ARX,ARX_Ridge,arx_external_plus_target_lags,0.9391775465869522,0.04035827520794295,1.3265435032872128,0.5670184575824277,1.113924330451439,0.558481725791802,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-0.056849160305453394,-0.9766477217357992,-0.8749443019452576
tci_within_gold,delta20,Exog,Exog_ElasticNet,external_only,-9.242188897290074,13.299848029928185,14.561623947828153,8.771183191687989,11.448884381449064,6.941569586636604,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-10.238215604182479,-14.211728166276739,-11.209904352942882
tci_within_gold,delta20,Exog,Exog_ExtraTrees,external_only,-0.2799451837401717,0.07404217254034734,6.3365345297935285,1.472823653726789,5.213485974738477,1.31460883167176,5.597056468542344,1.2513700564441215,0.9960267068924056,0.3498957815514136,0.23898002850618136,-1.2759718906325772,-5.986638748242115,-4.974505946232296
