target,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_same_scale_STC,Exog,Exog_RandomForest,external_only,-25.08260818539024,40.22166700168804,5.761650052238127,1.8445544539800984,4.896611787395645,2.233416447737206,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-26.060466889897064,-5.430958401477311,-4.712092955645845
tci_same_scale_STC,Exog,Exog_Ridge,external_only,-64.80591274583462,108.52247156792244,7.508547316775247,1.713894687813318,6.632883512617718,1.6462794702123276,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-65.78377145034145,-7.177855666014431,-6.448364680867918
tci_same_scale_STC,Mean,Mean,mean_baseline,-26.93940524279121,46.18370869325881,4.83586176835286,1.1661387363653113,4.481511050444272,1.4406226818625396,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-27.917263947298036,-4.505170117592044,-4.296992218694473
tci_within_gold,AR,AR_Ridge,target_lags,0.9986517917170404,0.0001246543111955024,0.3891048388034685,0.10913949933930486,0.2706146616624275,0.07556191766967882,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,0.0,0.0,0.0
tci_within_gold,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9871661264723012,0.006648596157636855,1.1560089276899734,0.39168840735393506,0.9038950362929596,0.30675002164095005,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-0.011485665244739263,-0.7669040888865049,-0.6332803746305322
tci_within_gold,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-0.18732366460114722,0.6087748627025167,11.654585354298355,5.9600987700581625,10.042167920037091,5.126783721524899,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.1859754563181877,-11.265480515494886,-9.771553258374663
tci_within_gold,ARX,ARX_RandomForest,arx_external_plus_target_lags,-0.10464512568540396,1.0130241440624075,11.20075371135826,8.117661252132967,9.65549466326393,7.809575964434846,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.1032969174024445,-10.811648872554791,-9.384880001601502
tci_within_gold,ARX,ARX_Ridge,arx_external_plus_target_lags,0.956378999913202,0.04977332186333318,1.8388201268708906,0.922179547583783,1.3950324972485715,0.6124495649718111,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-0.04227279180383847,-1.449715288067422,-1.124417835586144
tci_within_gold,Exog,Exog_ElasticNet,external_only,-1.2268442920270115,0.9192924241639508,15.452114563280958,5.059538976415089,12.365778113256747,4.840289948640673,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-2.225496083744052,-15.063009724477489,-12.095163451594319
tci_within_gold,Exog,Exog_ExtraTrees,external_only,-1.1791141455954162,0.7370609806222,15.636109320864698,6.1191221044949025,13.293244379952618,5.398835791400684,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-2.1777659373124565,-15.247004482061229,-13.02262971829019
tci_within_gold,Exog,Exog_RandomForest,external_only,-1.5799454938917616,1.7987587768963076,17.17817657916792,10.484355628933917,15.034096829539344,9.87633748488801,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-2.578597285608802,-16.789071740364452,-14.763482167876916
tci_within_gold,Exog,Exog_Ridge,external_only,-1.4047627290678983,0.8750145311790757,16.074201412925728,4.631849693818211,12.769170990780111,4.757051740781655,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-2.403414520784939,-15.685096574122259,-12.498556329117683
tci_within_gold,Mean,Mean,mean_baseline,-0.711107558684783,0.5141157156182196,13.351188963613973,1.6061522807386155,11.017876935060082,2.075039196194729,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,-1.7097593504018236,-12.962084124810504,-10.747262273397654
tci_within_palladium,AR,AR_Ridge,target_lags,0.9988089283007543,0.0010669186390734144,0.3200178111551865,0.18075969132962544,0.17785155617902362,0.07633136805739756,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,0.0,0.0,0.0
tci_within_palladium,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9975257785861235,0.00022168960596767435,0.48063818791031343,0.0800308134655056,0.32740456027660003,0.08457180567911296,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-0.001283149714630838,-0.16062037675512691,-0.1495530040975764
tci_within_palladium,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,0.41174584758907784,0.17852841682867016,7.489839034794688,2.3318451766170405,6.225907466346683,2.330338340778763,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-0.5870630807116765,-7.169821223639501,-6.04805591016766
tci_within_palladium,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.514341544305508,0.2604160212737478,6.7718369005234464,2.8656776520810263,5.803385564497287,2.248174664501772,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-0.48446738399524625,-6.45181908936826,-5.6255340083182634
tci_within_palladium,ARX,ARX_Ridge,arx_external_plus_target_lags,0.9838994952724217,0.00983802103073662,1.1680911875787163,0.4869521870701906,0.9426904337005287,0.5226660908318741,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-0.014909433028332586,-0.8480733764235298,-0.7648388775215051
tci_within_palladium,Exog,Exog_ElasticNet,external_only,-3.060115983063873,2.0630424711891884,18.60266554887798,1.3974898217062743,15.093627571301994,2.722431769207109,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-4.0589249113646275,-18.282647737722794,-14.91577601512297
tci_within_palladium,Exog,Exog_ExtraTrees,external_only,-0.1756904309958943,0.181906068900358,10.38911783598063,1.140511382443328,8.457257304599755,1.9350628887973342,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-1.1744993592966486,-10.069100024825444,-8.279405748420732
tci_within_palladium,Exog,Exog_RandomForest,external_only,-0.04233254110832337,0.028624040221240907,9.869456398486564,1.59078095807349,8.679532344277632,1.2678754190394248,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-1.0411414694090777,-9.549438587331379,-8.501680788098609
tci_within_palladium,Exog,Exog_Ridge,external_only,-3.7379970571639176,2.9302520771995355,19.77646271733809,2.3572667385349817,15.98859351716534,3.3525690825323307,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-4.736805985464672,-19.456444906182906,-15.810741960986316
