date,tci_same_scale_STC,tci_same_scale_MTC,tci_within_gold,tci_within_silver,tci_within_platinum,tci_within_palladium,tci_same_scale_LTC,tci_same_scale_STC_delta20,tci_same_scale_MTC_delta20,tci_within_gold_delta20,tci_within_silver_delta20,tci_within_platinum_delta20,tci_within_palladium_delta20
2018-10-04,76.05801792456553,77.83481638944363,43.894353862117995,59.106365683436444,97.39278854383488,62.74714407530097,99.9657623499294,-0.5914059662624993,-0.7714254799050906,-1.5327088090481595,-6.030554212697716,-0.2087974868272795,-7.121812779930828
2018-10-08,76.23135381004259,77.8122281065932,43.95641044380623,58.780095872679205,97.36511973821432,62.81761380224447,99.96669659748432,-0.34990431321854487,-0.5469201037003586,-1.292973592642376,-6.184343292996026,-0.23581799142938564,-6.145775483801735
2018-10-10,76.21327108884108,78.0007788737374,44.06056775621105,58.049911019330864,97.3384574808288,63.036911877902654,99.96828473084804,-0.4940836652223197,-0.08350683036692885,-1.1052507792187711,-6.824529694035775,-0.26956294600027775,-5.181697316429677
2018-10-11,76.21623507297903,78.15879557984115,44.004672202153614,57.67710696086489,97.35497983069536,63.12001498170703,99.9689532359834,-0.47533453386111546,0.3274894929335943,-1.1615315258169687,-7.060689713017226,-0.23244806395584305,-4.582923719296744
2018-10-15,76.14045770194025,78.27995072634144,44.06209775368535,57.34206886467826,97.33035141493292,63.1983311693435,99.96954493770686,-0.3511585273258788,0.6510599609372179,-0.9373398028671431,-7.1154008444135926,-0.22974888910138702,-4.177519178742905
2018-10-17,76.02804236609934,78.284777536999,43.61853480420285,56.400133877575605,97.30376617932458,63.434880191229865,99.97050887763605,-0.4139060547361879,0.7824499430259522,-1.3343728012675413,-7.772870951151752,-0.2536355071277683,-3.376543464742582
2018-10-18,76.034406134577,78.2217342100296,43.16218092414874,55.970594354589345,97.31788107330952,63.57544465648897,99.97088247468668,-0.37169727143448483,0.7488506054241526,-1.715486105836419,-7.876186376885407,-0.22526166783877954,-3.037471808795061
2018-10-22,76.01961707863015,78.14831407186499,42.84403661563507,55.54746427660926,97.30818421256357,63.80756979155161,99.97118187512925,-0.34726347058308704,0.6018275093293539,-1.9036390030112216,-7.9386509208774925,-0.23558483219598259,-2.699073326002214
2018-10-23,76.02941017095131,78.06595421080456,42.38912105585131,55.05578940549158,97.31113052137556,63.9637726451773,99.97140340955679,-0.5312665333827482,0.36717897782052944,-2.2207463077567127,-7.932395021915262,-0.2300597193920737,-2.980894461893641
2018-10-24,76.07541511098907,77.94375595004044,42.16021988890251,54.687511056709404,97.3065775541771,64.21527253413528,99.97154163460232,-0.4346852939954857,0.07624435311430489,-2.294072128330633,-7.885054130461015,-0.1745806720069254,-2.5369149521845173
2018-10-25,76.13460734634,77.73125894893207,41.987367810974156,54.25648293944774,97.29530558395456,64.46852259377992,99.97158941023979,-0.47773985111959405,-0.23962524721268608,-2.308621463557735,-8.469981636481464,-0.1343828340963995,-2.0661848354628205
2018-10-29,76.18216162737471,77.38498785933523,41.79542626254357,53.87710800794314,97.28743291570805,64.69516316294973,99.97153818093635,-0.5207729387344102,-0.5773528014140652,-2.3630929255214355,-8.604552491115868,-0.13592223263036374,-1.51275042669576
2018-10-30,76.2373595261131,76.90427725787524,41.623466260096826,53.441118357104216,97.2770214293905,64.90586026106898,99.97137852765077,-0.479655451952155,-0.9777843260297914,-2.442334214693375,-8.659783693977602,-0.14872271148526295,-0.7963338454763402
2018-10-31,76.10277340014173,76.34970289242695,41.20200685476203,52.871386039756544,97.26824913627024,65.08197683876139,99.97110110853077,-0.312085462013755,-1.4796466597275497,-2.9080561169405783,-8.784378539451879,-0.12733343969655664,0.42822420792589355
2018-11-01,76.27809754446503,75.8172078451445,41.03173797897036,52.438185253120025,97.23321342219528,65.26673796402342,99.97069811369266,0.19302522841961434,-2.057730448707815,-3.276045142518065,-8.842001586148442,-0.16136437372178136,1.084259450510416
2018-11-05,76.2315383289853,75.37229209581221,40.837016468224505,52.03995138560502,97.15943450277099,65.53902823565187,99.9701651891729,0.20903373933228409,-2.6290887114182624,-3.7996511338121692,-8.971352854207112,-0.23567372282816734,2.1703912884084815
2018-11-06,76.37552030088719,75.03181438777092,40.71618428788359,51.648028696322726,97.14509156970465,65.75441293846089,99.96950361731342,0.2697175090537769,-3.092727640060474,-4.218320997413855,-8.993665345069566,-0.26567591952007774,2.7187688268867944
2018-11-07,76.28966382596134,74.77935069079409,40.7245044257426,50.89648551245555,97.13759936867508,65.96017866909067,99.96872252673066,0.0657917114985338,-3.375010359754498,-4.2381210445883255,-9.390389644932547,-0.2828561386092332,3.0660799981670124
2018-11-08,76.23703810272761,74.58092913141259,40.66907095153449,50.30605541025402,97.14104249089031,66.17270756341055,99.96784062315372,0.04643627495654812,-3.4929611962762266,-3.971332718040472,-9.639641066976694,-0.27868211165277046,3.3855888671176686
2018-11-14,76.30345947851927,74.08617304305022,40.45827551148136,48.84695983101757,97.16885065946067,66.89148175706279,99.96491862370209,0.1010748074818224,-3.854390294534923,-3.9217870843261835,-10.782984124683281,-0.24068433263796862,4.167803493471077
2018-11-15,76.31080938476464,73.96520058009007,40.44148993341688,48.14691546993082,97.1844104547022,67.12173330596377,99.96399107158152,0.2527914601991057,-3.8696158093535615,-3.452863928701113,-10.959450213505626,-0.20837808913267963,4.374589230662799
2018-11-19,76.31248145933561,73.89135784638322,40.501294021311466,48.07604674500126,97.19764983421669,67.40995939392862,99.96315425915859,0.0811276492930233,-3.9208702602099805,-3.4551164224947613,-10.704049127677948,-0.1674699039976275,4.592345591684143
2018-11-21,76.4784339482392,73.84021869181755,40.671863498709264,47.44756973173715,97.22807256333392,67.9286723895228,99.96185740689569,0.26516285939811723,-4.160560181919848,-3.388704257501786,-10.602341287593717,-0.11038491749486923,4.891760511620149
2018-11-26,76.54573112397965,73.81500599999066,40.74004603677509,47.15172527876897,97.2412047115946,68.14496559841274,99.96142002777763,0.32949605100061774,-4.343789579850494,-3.264626165378523,-10.525381682095919,-0.113775119100751,5.024950616705709
2018-11-27,76.53361673485544,73.76872121243467,40.75695918890438,46.95968955519601,97.2695960757278,68.35286105266431,99.96112088899454,0.39315903291519305,-4.51122951390677,-3.305138564780968,-10.382379309482253,-0.06075533920511589,5.154529883320812
2018-11-28,76.57673472316516,73.69770425355644,40.81817443635096,46.51027361312492,97.27832719043128,68.588659826608,99.96094921876444,0.5486923570658178,-4.587073283442564,-2.8003603678518942,-9.889860264450682,-0.025438988893299097,5.153779635378129
2018-11-29,76.49701220859882,73.60742191743459,40.800287601195,46.23763293000625,97.28225564734592,68.79455328767618,99.96089100658152,0.46260607402182075,-4.614312292595002,-2.3618933229537404,-9.732961424583095,-0.03562542596360174,5.219108631187211
2018-12-03,76.35763188969695,73.5132435634098,40.823509998463344,46.01453645073831,97.30656173548908,68.87389732925163,99.9609317349609,0.33801481106679887,-4.635070508455186,-2.0205266171717255,-9.53292782587095,-0.0016224770744912576,5.066327537700026
2018-12-04,76.35913143686341,73.4362921911667,40.878837401078435,46.051266534365006,97.31871614884831,69.03943408446403,99.96105826365036,0.3297212659120987,-4.629662019637863,-1.510283654772877,-9.004522871126575,0.007585627472749934,5.075661439286733
2018-12-05,76.39938503779723,73.39317790001411,40.93079758881109,46.17713683603289,97.32934592830631,69.24388516241335,99.96125986225874,0.32396992680816084,-4.550578050026331,-1.2294223000914215,-8.51037422067651,0.022768374129213953,5.0286126282780685
2018-12-10,76.37260567521031,73.41994156296741,41.33074319547156,46.21984367349902,97.37936730349873,69.61333610614517,99.96185916722608,0.23799832887030448,-4.3113173859646565,-0.6566246155025937,-8.036639265948722,0.08406171954416664,5.144813512365246
2018-12-11,76.24553311284178,73.48491780459702,41.79907919737393,46.334025493295506,97.34496081530176,69.77807866837028,99.96224885695986,0.06337148546707283,-3.900070054738208,0.0036529348303560027,-7.543082514647637,0.0575278995937083,5.082915505420559
2018-12-12,76.17021661332582,73.57498935459846,41.84799547674381,46.46119664676975,97.34461646002791,69.94880616939476,99.96269709611376,-0.06714291278727558,-3.3292879032767786,0.22452921664698522,-6.979921710334466,0.06759503063740624,5.042945908325777
2018-12-17,76.07707681983686,73.76394964257639,42.4173466436116,46.916083753642596,97.33941008855106,70.35851893112721,99.96377769096986,-0.02569658030486721,-2.585753249850555,1.215339788849569,-5.955302286113948,0.07116095228082031,5.2765420923658155
2018-12-19,75.87047299952833,73.94854316422737,42.757980209806924,46.86593004552882,97.31496573981615,70.62659706934889,99.9651368647518,-0.4076245449366951,-1.8686646809171208,1.7262422308365615,-5.572255207591205,0.0817523176208681,5.359859105325469
2018-12-20,75.72778930124437,74.05539015705185,42.944484635576615,46.946105767009676,97.31994037588005,70.75431451527547,99.96593913639636,-0.5037490277409233,-1.3169019387603669,2.10746816735211,-5.093845618595346,0.1605058731090594,5.215286279623598
2018-12-26,75.82685482429517,74.16886464896834,43.17417064969047,47.69897676585358,97.3294843915601,70.89000169775332,99.9668345343301,-0.5486654765920207,-0.862949738802584,2.4579863618068742,-3.949051930469146,0.1843928218554538,5.135588759292432
2018-12-27,75.8791029242204,74.26901521978155,43.38354879737645,47.98876610687675,97.33439833441722,71.04154003815873,99.96783012539122,-0.4105609017409364,-0.5103354710125387,2.659044371633847,-2.9077194055787956,0.19679896574213274,5.081361369068063
2019-01-02,75.82086079984757,74.33272188822045,43.5979245651873,48.35891064895197,97.29052785206007,71.18588522142463,99.96892868314005,-0.41617730288004395,-0.24820724319214094,2.928853613652805,-1.9471447613020487,0.1494853611697522,5.013177658014072
2019-01-03,75.75281893802469,74.35698376469169,43.61996215851836,48.83453104531321,97.27692407203101,71.32973152138679,99.97012573782006,-0.5506405404945838,0.27081072164146747,3.1616866470370013,-0.012428785704358347,0.10807341257033443,4.438249764323999
2019-01-07,75.7789208910418,74.36426948222531,43.729459466355465,49.23343424736717,97.30285707995657,71.47671841862139,99.97140729811687,-0.5318884937228319,0.39906890213524093,3.2879695329385825,1.0865187774363534,0.11844662525436433,4.354985112657616
2019-01-08,75.77938684098903,74.38286498355744,43.898685561669595,49.635344912976144,97.30616279318541,71.59392659511914,99.97274938693054,-0.5330946183465812,0.49150713717422434,3.3973915403581287,1.5592981679748874,0.10851295896871704,4.1839672011905265
2019-01-09,75.67765324915244,74.42435416691453,43.989804423733865,49.957831646616064,97.30218207586832,71.69703055781615,99.97412021536793,-0.8007806990867579,0.5841354750969714,3.317940925024601,2.5102619148789174,0.0741095125343918,3.7683581682933465
2019-01-10,75.67338389645356,74.47514018576764,44.20756165387402,50.27105463510939,97.30592888248987,71.8282498255593,99.9754846620906,-0.8723472275260917,0.6601341857769825,3.4675156170989325,3.1193293563404154,0.06472417089526061,3.683284227146558
2019-01-14,75.68585900542088,74.51797621274713,44.39516497752571,50.563717506591615,97.31441119001094,71.87328825684527,99.97680980065157,-0.8477577294345622,0.7492550003124592,3.6382057886213275,3.604027951395608,0.044815114283139224,3.5204272041809617
2019-01-17,75.66556360369921,74.52123867113917,44.96591040119481,51.51631441427281,97.27520438819931,72.34113973214639,99.98034371008345,-0.9111711194659478,0.823534417582735,4.147735964843854,5.00604080114789,-0.0031228022319709225,3.7524799055383937
2019-01-22,75.80151839520994,74.52333605218209,45.107143899179675,52.24798859414174,97.27889227249086,72.58328344136608,99.98135623500231,-0.6954938133888788,0.9159141347474957,4.306856297984673,6.0103556641354885,-0.0033633748550556675,3.7887301536898974
2019-01-24,75.88873351560234,74.65565426256451,45.3625246573032,52.760139478554194,97.28311753939848,72.92409322077896,99.98317745330841,-0.4688983740946071,1.1424106991547092,4.539014658839854,6.745603027815882,-0.023444196090608216,4.0501958915273235
2019-01-28,76.0185405368558,74.77270302396748,45.6330928124605,53.372165857719935,97.29806324089658,73.09336222673096,99.98401162353098,-0.34059090000761216,1.3364108328007802,4.754255411382061,7.320899323354929,-0.02065290795172814,4.053928142266926
2019-01-29,75.96385860206594,74.90213269849849,45.86470588211415,53.611455461099304,97.29559083948057,73.18616898933362,99.98481094990242,-0.43552643573129046,1.5089547984843819,4.9339082933030625,7.43431862506641,-0.03375508882574252,3.9422838269202742
2019-01-30,75.95202513893628,75.00406166166515,46.24083658353413,53.68197004181295,97.30342854404152,73.35416849044141,99.98558469318523,-0.4205805362740307,1.5841200986977384,4.91009338806257,7.462126368313932,-0.07593875945720185,3.7408323842962403
2019-01-31,75.89776101257502,75.0242220267413,46.3913066882229,53.7795654430908,97.30863554891441,73.44765982080675,99.98633868390486,-0.3477721002667664,1.5393042221442812,4.59222749084897,7.445539949795297,-0.03632526638735101,3.6695811524364643
2019-02-04,75.94207631847749,74.92534159529238,46.56886500201615,53.8677620806469,97.31259747274626,73.60075420504724,99.98707475373313,-0.22814029484833043,1.3503522406939226,4.720869525272342,7.406565433877148,-0.03201898728164565,3.651948035652481
2019-02-05,75.95540062262991,74.72939999305534,46.50961985469085,53.902775350694675,97.31985552118746,73.73711059919151,99.98779061560471,-0.121676197206952,0.965450350478946,4.092273211079245,6.986691597052079,-0.019554567363599062,3.3785916680643027
2019-02-06,76.00486826698805,74.53701545593503,46.64121430408611,53.92350987805976,97.33203642184021,73.89057586054409,99.98848022207078,0.1343952674597233,0.5884722917076601,3.8832340942791888,7.057579832530941,0.017070682024069583,3.2639787911952
2019-02-07,76.0759066634688,74.46922583756023,46.624622914628716,53.766450075337744,97.34793660820387,74.03403611325268,99.98913452522447,0.34811736222442846,0.4138356805083845,3.680138279052102,6.8203443083280675,0.027996232323815207,3.2797215979772147
2019-02-11,76.08551807124864,74.56296837841762,46.89517204543382,53.708843327997066,97.3789700271659,74.20819276740434,99.98974249258362,0.25866324695347487,0.3941037294492844,3.7210013957433503,6.009866562143486,0.0494856356058051,3.3181910696510215
2019-02-12,76.04708464319295,74.73910033438045,47.085812527517106,53.460858284850616,97.35706848130377,74.39541045581801,99.99029217444641,0.16798171897254122,0.470085114598902,3.7022637301406576,5.472092177973863,0.02267014688655422,3.35387041765928
2019-02-13,76.08706219216069,74.9010053830891,47.076529096734355,53.37873186646057,97.36472129622177,74.63552274666307,99.99077162859811,0.26620139231312123,0.5682834948686519,3.478604531547056,5.0198212175086,0.07419344416170759,3.449637525238444
2019-02-14,76.0419179876408,75.01804581803168,47.07998419608064,52.90542788763725,97.38229897323845,74.87694345403102,99.99116956458404,0.2890990496161123,0.6610620533399896,3.4600220375622754,4.070896842324039,0.10537490120744053,3.547211932644231
2019-02-19,76.2716396287471,75.11182219616597,47.31867131803052,52.81704259381982,97.44347341498309,75.17996546906168,99.99147565807155,0.49271873770528885,0.7475527139406637,3.589211851675053,3.5836083464526496,0.1406163350265217,3.7032470504402966
2019-02-25,76.40420182318522,75.40461885651135,47.618309951968854,52.17265861402131,97.4964696909281,75.89560602105064,99.99175578203648,0.6248149821961846,1.0217538729539086,3.719624390299259,2.5373137010451643,0.19030689774268694,4.301679425931496
2019-02-26,76.39445597862652,75.59035459238115,47.87058259953049,51.9196260130142,97.4945075771525,76.05451491990075,99.99161305063446,0.7168027294740824,1.1660004254666205,3.880778175796628,1.9617943663981379,0.1923255012841878,4.357484362084605
2019-02-27,76.44148624514321,75.82731257798572,48.23709683892196,51.73858898584136,97.4944730155138,76.27064291374988,99.99134371593128,0.7681023486896521,1.3521723922180797,4.0295351850479335,1.4675343507319738,0.1885441330239388,4.442393088190585
2019-03-04,76.64215552929673,76.28167559357408,48.60690341921789,51.36876875333153,97.55111944406765,76.54233087728555,99.99041507140774,0.9562965238758494,1.7636993808269494,4.211738441692184,0.8050512467399145,0.23670825405670826,4.66904262044028
2019-03-05,76.63226595700465,76.44180027958966,48.65253905528174,51.07868723071706,97.54216735708071,76.65825164793128,99.98975520332769,0.9667023533054362,1.920561608450484,3.686628654086931,-0.4376271835557546,0.26696296888140125,4.317111915784892
2019-03-06,76.63618622684125,76.5562224462337,48.55820284153787,50.75403576583021,97.52646889169974,76.75518351696878,99.98896812873608,0.8346678316313074,2.0328863940516158,3.4510589423581948,-1.493952828311528,0.2475766192088713,4.171900075602707
2019-03-07,76.66649982488444,76.63958881624505,48.44368297069857,50.44904514350467,97.50780396126831,76.85620993956027,99.98805919378677,0.7777663092821001,1.983934553680541,3.0811583133953704,-2.3110943350495248,0.22468642186983345,3.932116718781316
2019-03-11,76.62063091478831,76.68866438313124,48.460419760347605,50.11824585968847,97.48988922943356,76.9124812469083,99.98703632807421,0.6020903779325124,1.9159613591637594,2.8273269478871086,-3.2539199980314635,0.1918259885369764,3.8191190201773395
2019-03-12,76.66645045338143,76.66458378027576,48.51618486606321,49.837104127892474,97.48511793187369,76.97221863771914,99.98591012724512,0.7025918513154892,1.7624510817772716,2.651478983949062,-3.7743513332068304,0.1895270923931207,3.7860496483855144
2019-03-13,76.71302009793884,76.53696506799525,48.49689727359256,49.633110488385384,97.47501378911726,77.0541404980947,99.98469375570964,0.7609949590025593,1.5329034063301066,2.256060690058426,-4.048859553427569,0.17158524507573247,3.6999720076532867
2019-03-14,76.80164374504321,76.34520755732574,48.5176238145311,49.39118032363741,97.4621776287748,77.1120470436573,99.98340268078512,0.9038827324681904,1.3209855305844371,2.1263171263082015,-4.388385119453396,0.1535420798603866,3.66438722285055
2019-03-18,76.83126934060478,76.17623461865874,48.3821171616311,49.130731684464294,97.4711666364804,77.25152679447605,99.98205416545186,0.8891930221272872,1.250893023366359,1.8132521596149473,-4.737030396182604,0.15856916373414265,3.6507725894288114
2019-03-19,76.87015955062941,76.0821338183517,48.34129344989913,49.04066454702935,97.47438923617163,77.39067370105451,99.98066653513227,0.9147589279995003,1.3527338252963688,1.8316735952082865,-4.862110803665324,0.15453371498416857,3.653563101863
2019-03-20,76.75276415918351,76.05978890204092,48.320810804072295,48.576103361526464,97.4326295887296,77.54204647465528,99.97925832828123,0.7478958921954586,1.5227734461058873,1.6795964999861823,-5.347406516533297,0.10059316688938225,3.65147061411119
2019-03-21,76.6926937443927,76.09154316444835,48.4301215247035,48.510349909314826,97.3526054983302,77.72907615987799,99.97784738456473,0.6167870809238991,1.6223173268881226,1.8054986100747854,-5.256100166022918,0.00466889012633942,3.6950400466253086
