target,high_state,model_family,model,feature_set,auc_mean,auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,accuracy_mean,accuracy_std,positive_rate_test_mean,positive_rate_test_std,positive_rate_pred_mean,positive_rate_pred_std
tci_within_gold,high_q75,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.9638089656271766,0.03636683665785579,0.9393471612971629,0.06765290596334336,0.7335365142973135,0.21722945827493123,0.5450367647058824,0.48340607968710964,0.7789862237163009,0.15535820505408218,0.4083514600224112,0.039399560588756155,0.2814646364774899,0.2668420793613371
tci_within_gold,high_q75,ARX,ARX_Logistic,arx_external_plus_target_lags,0.8600938160673112,0.08367867201744449,0.7883100111442323,0.14519108744067677,0.6929962236443347,0.1278917320582811,0.6877743470542041,0.11324471186034157,0.6376617669676796,0.18294264156852844,0.4083514600224112,0.039399560588756155,0.6954760178410564,0.27376301007622184
tci_within_gold,high_q75,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9887867832693842,0.004871476781852255,0.983091781518758,0.0012567326995607947,0.8107547728276855,0.2691482001144768,0.636625557780823,0.5514547088600956,0.8457847208489881,0.2005384804725898,0.4083514600224112,0.039399560588756155,0.29865972359545623,0.2591483184519527
tci_within_gold,high_q75,Exog,Exog_ExtraTreesClassifier,external_only,0.6969579970003273,0.1453235881094703,0.7024758290692782,0.17622939197971801,0.5504740892858906,0.04465191989078297,0.30648027087733415,0.32438944278578374,0.6096346098916793,0.051010642734748896,0.4083514600224112,0.039399560588756155,0.2949443016281063,0.4394429420086514
tci_within_gold,high_q75,Exog,Exog_Logistic,external_only,0.4930783030848655,0.2101597856535974,0.5091489430706785,0.21875652907950097,0.4643515731966756,0.10329853251550537,0.4293709293709294,0.18734771679299664,0.4562432711532969,0.09537791482705153,0.4083514600224112,0.039399560588756155,0.5855316063542285,0.17988350333787959
tci_within_gold,high_q75,Exog,Exog_RandomForestClassifier,external_only,0.6699169143303562,0.18286092588896155,0.6546958041858741,0.16952413127002633,0.539223409387607,0.1743928860837685,0.30227700736175317,0.3362229280074152,0.5940478544591655,0.1632339817104639,0.4083514600224112,0.039399560588756155,0.2268187111374772,0.20000904976137487
tci_within_gold,high_q75,Prevalence,Prevalence,prevalence,0.5,0.0,0.4083514600224112,0.039399560588756155,0.5,0.0,0.0,0.0,0.5916485399775887,0.039399560588756176,0.4083514600224112,0.039399560588756155,0.0,0.0
tci_within_gold,high_q90,AR,AR_Logistic,target_lags,0.9988452884874509,0.0014703505194329182,0.996204790729367,0.005267694732311157,0.9494407924896014,0.00866022908071882,0.8498886865007084,0.062031785839333047,0.9220706171862983,0.019713130812846886,0.23708830444048953,0.07060282280940443,0.31501768725419116,0.05145531784500262
tci_within_gold,high_q90,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.8991928710506824,0.08210135166042803,0.7002676720319226,0.21123972709176644,0.7014206140627751,0.1969837515580218,0.4364933324246348,0.4133318787065462,0.7987432162239361,0.06583438497526103,0.23708830444048953,0.07060282280940443,0.2532726913189638,0.22516005737785635
tci_within_gold,high_q90,ARX,ARX_Logistic,arx_external_plus_target_lags,0.6726437592533397,0.19907372525433675,0.4525480926367065,0.07534125275479854,0.6017443874442662,0.02061915839368541,0.37811940174144903,0.023197465495931338,0.4981236130336388,0.16654899509001764,0.23708830444048953,0.07060282280940443,0.5748357612110826,0.3535221933320033
tci_within_gold,high_q90,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9782516003516116,0.0031433065864160626,0.8911769625788967,0.027719506597122624,0.8070542577349867,0.2659340065350234,0.5980459611944408,0.5189836743337943,0.8963548876145278,0.08858138899684935,0.23708830444048953,0.07060282280940443,0.1967921253268297,0.17716677461487915
tci_within_gold,high_q90,Exog,Exog_ExtraTreesClassifier,external_only,0.41069494328504313,0.11675763194862117,0.2900825694334475,0.029562629558002717,0.4531472877195702,0.04115471720789111,0.1447839930445408,0.13976081249517508,0.6105771977237272,0.17090061004925786,0.23708830444048953,0.07060282280940443,0.24812690879528923,0.22412901031282417
tci_within_gold,high_q90,Exog,Exog_Logistic,external_only,0.4142350017717345,0.11309226912792866,0.242332847042376,0.08552082473372488,0.44388022196521243,0.0030948398102197817,0.1967031826928366,0.08684597777876107,0.46394656471777296,0.12447454754906608,0.23708830444048953,0.07060282280940443,0.44459824665480197,0.2832945999371669
tci_within_gold,high_q90,Exog,Exog_RandomForestClassifier,external_only,0.5998062597175128,0.18232242207340602,0.3630397291200604,0.08293459642674077,0.45721837126363285,0.17204733441244743,0.17549555341262188,0.2194673477444494,0.596660294860809,0.2629762318847541,0.23708830444048953,0.07060282280940443,0.26717641113528007,0.3030033523480844
tci_within_gold,high_q90,Prevalence,Prevalence,prevalence,0.5,0.0,0.23708830444048953,0.07060282280940443,0.5,0.0,0.0,0.0,0.7629116955595104,0.07060282280940443,0.23708830444048953,0.07060282280940443,0.0,0.0
tci_within_palladium,high_q75,AR,AR_Logistic,target_lags,0.9999881058578651,2.0601258490235874e-05,0.9999634502923976,6.330595056899804e-05,0.9882892703655415,0.0089488613781824,0.9620800283672731,0.023265695254533078,0.9820337046558126,0.013308245279520937,0.22258475600377914,0.0509181238044342,0.2405510513479665,0.05704332903570899
tci_within_palladium,high_q75,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,0.9976640478756583,0.002589011352561602,0.9913958244860966,0.008608386655738905,0.6631944444444444,0.28266106929075424,0.32371794871794873,0.5606959345014635,0.8588205567640014,0.11586036370756458,0.22258475600377914,0.0509181238044342,0.09168808911739502,0.15880842880023124
tci_within_palladium,high_q75,ARX,ARX_Logistic,arx_external_plus_target_lags,0.9798274610850458,0.02234439488386985,0.862969636280731,0.19336014485325714,0.8456489447443395,0.1492887729087294,0.7480630784324355,0.199218605972706,0.9093028365521939,0.05761607131811066,0.22258475600377914,0.0509181238044342,0.19015665853712127,0.11144751139051352
tci_within_palladium,high_q75,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9984880786957616,0.0020322576293794513,0.99631240932201,0.004485087796126167,0.7602461013645224,0.24912984320162904,0.5716760977321577,0.512556987635203,0.9084019950343857,0.08054835549402724,0.22258475600377914,0.0509181238044342,0.13441434315470305,0.13243713352672226
tci_within_palladium,high_q75,Exog,Exog_ExtraTreesClassifier,external_only,0.39471305474888624,0.34366905144344134,0.2737456512605285,0.2306184188940325,0.5016501650165016,0.0028581696494535875,0.006535947712418301,0.011320593513522074,0.7782721420253553,0.049996001774877834,0.22258475600377914,0.0509181238044342,0.0008568980291345329,0.001484190923366647
tci_within_palladium,high_q75,Exog,Exog_Logistic,external_only,0.6250937464512022,0.44614252309270225,0.48358097447982057,0.4618672314866267,0.5603909621731403,0.18431611740739348,0.23225806451612904,0.4022827682095457,0.7757014479379518,0.09530605524922943,0.22258475600377914,0.0509181238044342,0.09425878320479864,0.08167096868856114
tci_within_palladium,high_q75,Exog,Exog_RandomForestClassifier,external_only,0.44273475449056837,0.4540416419372493,0.3821740149152815,0.39827150334466976,0.5607638888888888,0.10524614282102551,0.17489177489177488,0.302921439938453,0.7071496056071892,0.15879416849292957,0.22258475600377914,0.0509181238044342,0.24335904027420738,0.42151022223612783
tci_within_palladium,high_q75,Prevalence,Prevalence,prevalence,0.5,0.0,0.22258475600377914,0.0509181238044342,0.5,0.0,0.0,0.0,0.7774152439962209,0.05091812380443418,0.22258475600377914,0.0509181238044342,0.0,0.0
tci_within_palladium,high_q90,AR,AR_Logistic,target_lags,1.0,0.0,1.0,0.0,0.9685881571946678,0.03295811486770136,0.6278280542986425,0.5437153384253189,0.9632127084569243,0.028563408510154265,0.11053984575835475,0.10369174308534039,0.14732713730143035,0.0812288457522542
tci_within_palladium,high_q90,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,1.0,0.0,1.0,0.0,0.819309600862999,0.2773291587903527,0.2867383512544803,0.496645392851291,0.93573264781491,0.06302134021661317,0.11053984575835475,0.10369174308534039,0.09083119108826049,0.1573242378768646
tci_within_palladium,high_q90,ARX,ARX_Logistic,arx_external_plus_target_lags,0.9811804333383838,0.013202776995779033,0.9228905372014662,0.018884642226964447,0.9125999814912272,0.03521225561041382,0.516489418841981,0.45531244059456777,0.8929712389866631,0.07373428972083393,0.11053984575835475,0.10369174308534039,0.2124272185968844,0.15657381316748675
tci_within_palladium,high_q90,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,0.9975323624595468,0.003489766476729595,0.9902749840326199,0.013753249475363915,0.8268608414239482,0.28323623855924923,0.31007751937984496,0.5370700178508147,0.9477292202227935,0.06565762726474905,0.11053984575835475,0.10369174308534039,0.07883461868037704,0.13654556494973155
tci_within_palladium,high_q90,Exog,Exog_ExtraTreesClassifier,external_only,0.5739261845514905,0.48382149424076704,0.43304159639680895,0.4579514011822506,0.730710625674218,0.25222259987090845,0.18452380952380953,0.3196046133014,0.9151670951156813,0.07347869371699972,0.11053984575835475,0.10369174308534039,0.027420736932305054,0.047494109547732706
tci_within_palladium,high_q90,Exog,Exog_Logistic,external_only,0.6871984716216584,0.40140631462698684,0.4995285690129015,0.5621283725744238,0.7240313837758156,0.2972949887398926,0.23409669211195924,0.4054673646217218,0.8646189000944785,0.1458930049497264,0.11053984575835475,0.10369174308534039,0.10367587282754377,0.08316924503943135
