feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,target_type,test_end,test_start,test_std,train_end,train_start
arx_external_plus_target_lags,1,0.24843291311750168,ARX_ElasticNet,ARX,389,1427,-0.5668367488917414,0.4245205512888886,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
external_only,1,0.22865594846281972,Exog_RandomForest,Exog,389,1427,-0.1389473765926128,0.3619417436979633,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.23086975940038848,ARX_RandomForest,ARX,389,1427,-0.12480533235145574,0.359687651551337,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
external_only,1,0.2239158090228781,Exog_ExtraTrees,Exog,389,1427,-0.09310731171657638,0.3545832731554623,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.2324885710189187,ARX_ExtraTrees,ARX,389,1427,-0.13459026274875496,0.3612487650078477,tci_same_scale_STC,ar_residual,2022-03-16,2020-03-04,0.33914611386480603,2020-03-03,2013-04-08
target_lags,2,0.09217817503798174,AR_Ridge,AR,389,1816,0.9598737319748682,0.13737636796460514,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.6858002596514201,2022-03-16,2013-04-08
external_only,2,0.23583095551789252,Exog_Ridge,Exog,389,1816,-4.084648905141519,0.30885626493078044,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.38367876098712583,ARX_Ridge,ARX,389,1816,-10.66829506665274,0.46787477521893217,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
external_only,2,0.11063840643718588,Exog_ElasticNet,Exog,389,1816,-0.25188948179047377,0.1532529789932642,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.10667554049719091,ARX_ElasticNet,ARX,389,1816,-0.2192071774748401,0.15123930931045562,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
