accuracy,auc,average_precision,balanced_accuracy,f1,feature_set,fold,high_state,model,model_family,n_test,n_train,positive_rate_pred,positive_rate_test,target,test_end,test_start,train_end,train_start
0.0,,,0.0,0.0,prevalence,2,high_q90,Prevalence,Prevalence,389,1816,0.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,1.0,target_lags,2,high_q90,AR_Logistic,AR,389,1816,1.0,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.35475578406169667,,,0.35475578406169667,0.5237191650853891,external_only,2,high_q90,Exog_Logistic,Exog,389,1816,0.35475578406169667,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6323907455012854,,,0.6323907455012854,0.7748031496062993,external_only,2,high_q90,Exog_RandomForestClassifier,Exog,389,1816,0.6323907455012854,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.3444730077120823,,,0.3444730077120823,0.5124282982791587,external_only,2,high_q90,Exog_ExtraTreesClassifier,Exog,389,1816,0.3444730077120823,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.6529562982005142,,,0.6529562982005142,0.7900466562986003,arx_external_plus_target_lags,2,high_q90,ARX_Logistic,ARX,389,1816,0.6529562982005142,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.8251928020565553,,,0.8251928020565553,0.9042253521126761,arx_external_plus_target_lags,2,high_q90,ARX_RandomForestClassifier,ARX,389,1816,0.8251928020565553,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7866323907455013,,,0.7866323907455013,0.8805755395683453,arx_external_plus_target_lags,2,high_q90,ARX_ExtraTreesClassifier,ARX,389,1816,0.7866323907455013,1.0,tci_same_scale_STC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q90,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.9256410256410257,,,0.9256410256410257,0.0,target_lags,3,high_q90,AR_Logistic,AR,390,2205,0.07435897435897436,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.3,,,0.3,0.0,external_only,3,high_q90,Exog_Logistic,Exog,390,2205,0.7,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.2846153846153846,,,0.2846153846153846,0.0,external_only,3,high_q90,Exog_RandomForestClassifier,Exog,390,2205,0.7153846153846154,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.09743589743589744,,,0.09743589743589744,0.0,external_only,3,high_q90,Exog_ExtraTreesClassifier,Exog,390,2205,0.9025641025641026,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.735897435897436,,,0.735897435897436,0.0,arx_external_plus_target_lags,3,high_q90,ARX_Logistic,ARX,390,2205,0.2641025641025641,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q90,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.4153846153846154,,,0.4153846153846154,0.0,arx_external_plus_target_lags,3,high_q90,ARX_ExtraTreesClassifier,ARX,390,2205,0.5846153846153846,0.0,tci_same_scale_STC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,prevalence,1,high_q75,Prevalence,Prevalence,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
