target,importance_mode,fold,feature,group,tree_importance
tci_same_scale_STC,external_only,3,cftc_gold_other_reportable_net_ratio_lag1,CFTC_GOLD,0.005802924340374509
tci_same_scale_STC,external_only,3,cftc_gold_other_reportable_net_ratio_lag5,CFTC_GOLD,0.010967546252871156
tci_same_scale_STC,external_only,3,cftc_gold_other_reportable_net_ratio_lag20,CFTC_GOLD,0.002684904723298612
tci_same_scale_STC,external_only,3,cftc_gold_other_reportable_net_ratio_ma20_lag1,CFTC_GOLD,0.005035121759268986
tci_same_scale_STC,external_only,3,cftc_gold_other_reportable_net_ratio_std20_lag1,CFTC_GOLD,0.002196793786990991
tci_same_scale_STC,external_only,3,cftc_gold_nonreportable_net_ratio_lag1,CFTC_GOLD,0.0018582737806631978
tci_same_scale_STC,external_only,3,cftc_gold_nonreportable_net_ratio_lag5,CFTC_GOLD,0.0017890117709726601
tci_same_scale_STC,external_only,3,cftc_gold_nonreportable_net_ratio_lag20,CFTC_GOLD,0.0
tci_same_scale_STC,external_only,3,cftc_gold_nonreportable_net_ratio_ma20_lag1,CFTC_GOLD,7.782490695371264e-05
tci_same_scale_STC,external_only,3,cftc_gold_nonreportable_net_ratio_std20_lag1,CFTC_GOLD,0.00025622801377402906
tci_same_scale_STC,external_only,3,cftc_gold_oi_change_ratio_lag1,CFTC_GOLD,0.00048097361876879634
tci_same_scale_STC,external_only,3,cftc_gold_oi_change_ratio_lag5,CFTC_GOLD,0.0
tci_same_scale_STC,external_only,3,cftc_gold_oi_change_ratio_lag20,CFTC_GOLD,0.0
tci_same_scale_STC,external_only,3,cftc_gold_oi_change_ratio_ma20_lag1,CFTC_GOLD,0.0
tci_same_scale_STC,external_only,3,cftc_gold_oi_change_ratio_std20_lag1,CFTC_GOLD,0.0026956445683640534
tci_same_scale_STC,external_only,3,cftc_palladium_oi_lag1,CFTC_PALLADIUM,3.8577455413037e-06
tci_same_scale_STC,external_only,3,cftc_palladium_oi_lag5,CFTC_PALLADIUM,0.00011173456848480685
tci_same_scale_STC,external_only,3,cftc_palladium_oi_lag20,CFTC_PALLADIUM,0.00034734485001709076
tci_same_scale_STC,external_only,3,cftc_palladium_oi_ma20_lag1,CFTC_PALLADIUM,0.000164852736590595
tci_same_scale_STC,external_only,3,cftc_palladium_oi_std20_lag1,CFTC_PALLADIUM,0.002475780263798589
tci_same_scale_STC,external_only,3,cftc_palladium_oi_change_ratio_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_oi_change_ratio_lag5,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_oi_change_ratio_lag20,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_oi_change_ratio_ma20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_oi_change_ratio_std20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_managed_money_net_ratio_lag1,CFTC_PALLADIUM,0.018152027702423367
tci_same_scale_STC,external_only,3,cftc_palladium_managed_money_net_ratio_lag5,CFTC_PALLADIUM,0.006280784467306478
tci_same_scale_STC,external_only,3,cftc_palladium_managed_money_net_ratio_lag20,CFTC_PALLADIUM,0.012978053518369129
tci_same_scale_STC,external_only,3,cftc_palladium_managed_money_net_ratio_ma20_lag1,CFTC_PALLADIUM,0.01709505679935896
tci_same_scale_STC,external_only,3,cftc_palladium_managed_money_net_ratio_std20_lag1,CFTC_PALLADIUM,0.0006876351751303183
tci_same_scale_STC,external_only,3,cftc_palladium_producer_merchant_net_ratio_lag1,CFTC_PALLADIUM,2.593094886798137e-06
tci_same_scale_STC,external_only,3,cftc_palladium_producer_merchant_net_ratio_lag5,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_producer_merchant_net_ratio_lag20,CFTC_PALLADIUM,1.121386970586859e-05
tci_same_scale_STC,external_only,3,cftc_palladium_producer_merchant_net_ratio_ma20_lag1,CFTC_PALLADIUM,0.00033872729166593645
tci_same_scale_STC,external_only,3,cftc_palladium_producer_merchant_net_ratio_std20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_swap_net_ratio_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_swap_net_ratio_lag5,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_swap_net_ratio_lag20,CFTC_PALLADIUM,4.481296963508547e-06
tci_same_scale_STC,external_only,3,cftc_palladium_swap_net_ratio_ma20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_swap_net_ratio_std20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_gold_oi_lag1,CFTC_GOLD,0.0005097110708358372
tci_same_scale_STC,external_only,3,cftc_gold_oi_lag5,CFTC_GOLD,8.826519777811903e-05
tci_same_scale_STC,external_only,3,cftc_gold_oi_lag20,CFTC_GOLD,0.0
tci_same_scale_STC,external_only,3,cftc_gold_oi_ma20_lag1,CFTC_GOLD,9.045817711482345e-05
tci_same_scale_STC,external_only,3,cftc_gold_oi_std20_lag1,CFTC_GOLD,0.013855834342140027
tci_same_scale_STC,external_only,3,cftc_platinum_oi_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_oi_lag5,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_oi_lag20,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_oi_ma20_lag1,CFTC_PLATINUM,0.00039488246632445295
tci_same_scale_STC,external_only,3,cftc_platinum_oi_std20_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_silver_nonreportable_net_ratio_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_nonreportable_net_ratio_lag5,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_nonreportable_net_ratio_lag20,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_nonreportable_net_ratio_ma20_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_nonreportable_net_ratio_std20_lag1,CFTC_SILVER,0.0013542727456710966
tci_same_scale_STC,external_only,3,cftc_platinum_managed_money_net_ratio_lag1,CFTC_PLATINUM,0.005686296265133896
tci_same_scale_STC,external_only,3,cftc_platinum_managed_money_net_ratio_lag5,CFTC_PLATINUM,0.020002548632761262
tci_same_scale_STC,external_only,3,cftc_platinum_managed_money_net_ratio_lag20,CFTC_PLATINUM,0.017820266920473206
tci_same_scale_STC,external_only,3,cftc_platinum_managed_money_net_ratio_ma20_lag1,CFTC_PLATINUM,0.03416880952585584
tci_same_scale_STC,external_only,3,cftc_platinum_managed_money_net_ratio_std20_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_palladium_nonreportable_net_ratio_lag1,CFTC_PALLADIUM,0.0003524220032979972
tci_same_scale_STC,external_only,3,cftc_palladium_nonreportable_net_ratio_lag5,CFTC_PALLADIUM,0.0002030388468431521
tci_same_scale_STC,external_only,3,cftc_palladium_nonreportable_net_ratio_lag20,CFTC_PALLADIUM,9.305806867035795e-05
tci_same_scale_STC,external_only,3,cftc_palladium_nonreportable_net_ratio_ma20_lag1,CFTC_PALLADIUM,5.542889646451776e-05
tci_same_scale_STC,external_only,3,cftc_palladium_nonreportable_net_ratio_std20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_producer_merchant_net_ratio_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_producer_merchant_net_ratio_lag5,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_producer_merchant_net_ratio_lag20,CFTC_PLATINUM,1.3922768844392946e-05
tci_same_scale_STC,external_only,3,cftc_platinum_producer_merchant_net_ratio_ma20_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_producer_merchant_net_ratio_std20_lag1,CFTC_PLATINUM,0.0014243334067185988
tci_same_scale_STC,external_only,3,cftc_platinum_swap_net_ratio_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_swap_net_ratio_lag5,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_swap_net_ratio_lag20,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_swap_net_ratio_ma20_lag1,CFTC_PLATINUM,3.4909393509851867e-06
tci_same_scale_STC,external_only,3,cftc_platinum_swap_net_ratio_std20_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_platinum_other_reportable_net_ratio_lag1,CFTC_PLATINUM,0.007526218810231547
tci_same_scale_STC,external_only,3,cftc_platinum_other_reportable_net_ratio_lag5,CFTC_PLATINUM,0.008030713015387284
tci_same_scale_STC,external_only,3,cftc_platinum_other_reportable_net_ratio_lag20,CFTC_PLATINUM,0.02841259021961961
tci_same_scale_STC,external_only,3,cftc_platinum_other_reportable_net_ratio_ma20_lag1,CFTC_PLATINUM,0.01270973025937273
tci_same_scale_STC,external_only,3,cftc_platinum_other_reportable_net_ratio_std20_lag1,CFTC_PLATINUM,0.0023975947454725156
tci_same_scale_STC,external_only,3,cftc_platinum_nonreportable_net_ratio_lag1,CFTC_PLATINUM,0.0011570861617775769
tci_same_scale_STC,external_only,3,cftc_platinum_nonreportable_net_ratio_lag5,CFTC_PLATINUM,0.0006735390754533573
tci_same_scale_STC,external_only,3,cftc_platinum_nonreportable_net_ratio_lag20,CFTC_PLATINUM,0.0001795750943053035
tci_same_scale_STC,external_only,3,cftc_platinum_nonreportable_net_ratio_ma20_lag1,CFTC_PLATINUM,0.001021211636050787
tci_same_scale_STC,external_only,3,cftc_platinum_nonreportable_net_ratio_std20_lag1,CFTC_PLATINUM,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_lag1,CFTC_SILVER,9.616923536993123e-05
tci_same_scale_STC,external_only,3,cftc_silver_oi_lag5,CFTC_SILVER,0.0057387805818162685
tci_same_scale_STC,external_only,3,cftc_silver_oi_lag20,CFTC_SILVER,0.004677314809756139
tci_same_scale_STC,external_only,3,cftc_silver_oi_ma20_lag1,CFTC_SILVER,1.1656424921458246e-05
tci_same_scale_STC,external_only,3,cftc_silver_oi_std20_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_change_ratio_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_change_ratio_lag5,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_change_ratio_lag20,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_change_ratio_ma20_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_oi_change_ratio_std20_lag1,CFTC_SILVER,0.0034324189300146356
tci_same_scale_STC,external_only,3,cftc_silver_managed_money_net_ratio_lag1,CFTC_SILVER,0.0005645495337205772
tci_same_scale_STC,external_only,3,cftc_silver_managed_money_net_ratio_lag5,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_managed_money_net_ratio_lag20,CFTC_SILVER,0.00022113580162507756
tci_same_scale_STC,external_only,3,cftc_silver_managed_money_net_ratio_ma20_lag1,CFTC_SILVER,0.00015846771880084952
tci_same_scale_STC,external_only,3,cftc_silver_managed_money_net_ratio_std20_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_producer_merchant_net_ratio_lag1,CFTC_SILVER,8.855677960116945e-05
tci_same_scale_STC,external_only,3,cftc_silver_producer_merchant_net_ratio_lag5,CFTC_SILVER,0.00020779007830507698
tci_same_scale_STC,external_only,3,cftc_silver_producer_merchant_net_ratio_lag20,CFTC_SILVER,9.922265305557802e-05
tci_same_scale_STC,external_only,3,cftc_silver_producer_merchant_net_ratio_ma20_lag1,CFTC_SILVER,0.00128814372890888
tci_same_scale_STC,external_only,3,cftc_silver_producer_merchant_net_ratio_std20_lag1,CFTC_SILVER,0.0003834297367672662
tci_same_scale_STC,external_only,3,cftc_silver_swap_net_ratio_lag1,CFTC_SILVER,6.764952794762167e-05
tci_same_scale_STC,external_only,3,cftc_silver_swap_net_ratio_lag5,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_swap_net_ratio_lag20,CFTC_SILVER,0.0002834003890066594
tci_same_scale_STC,external_only,3,cftc_silver_swap_net_ratio_ma20_lag1,CFTC_SILVER,0.0013771250852820458
tci_same_scale_STC,external_only,3,cftc_silver_swap_net_ratio_std20_lag1,CFTC_SILVER,0.0
tci_same_scale_STC,external_only,3,cftc_silver_other_reportable_net_ratio_lag1,CFTC_SILVER,0.014885287157880536
tci_same_scale_STC,external_only,3,cftc_silver_other_reportable_net_ratio_lag5,CFTC_SILVER,0.014374293020706854
tci_same_scale_STC,external_only,3,cftc_silver_other_reportable_net_ratio_lag20,CFTC_SILVER,0.018451162854452544
tci_same_scale_STC,external_only,3,cftc_silver_other_reportable_net_ratio_ma20_lag1,CFTC_SILVER,0.025543748109897197
tci_same_scale_STC,external_only,3,cftc_silver_other_reportable_net_ratio_std20_lag1,CFTC_SILVER,0.0016390321070170074
tci_same_scale_STC,external_only,3,cftc_palladium_other_reportable_net_ratio_lag1,CFTC_PALLADIUM,0.0069285709392916325
tci_same_scale_STC,external_only,3,cftc_palladium_other_reportable_net_ratio_lag5,CFTC_PALLADIUM,0.017677906904042282
tci_same_scale_STC,external_only,3,cftc_palladium_other_reportable_net_ratio_lag20,CFTC_PALLADIUM,0.011934150774552088
tci_same_scale_STC,external_only,3,cftc_palladium_other_reportable_net_ratio_ma20_lag1,CFTC_PALLADIUM,0.005865454337125389
tci_same_scale_STC,external_only,3,cftc_palladium_other_reportable_net_ratio_std20_lag1,CFTC_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,financial_stress_lag1,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,financial_stress_lag5,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,financial_stress_lag20,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,financial_stress_ma20_lag1,RISK_STRESS,1.2444787173388052e-05
tci_same_scale_STC,external_only,3,financial_stress_std20_lag1,RISK_STRESS,0.009566891472714155
tci_same_scale_STC,external_only,3,industrial_production_lag1,INFLATION_GROWTH,0.007009724817036783
tci_same_scale_STC,external_only,3,industrial_production_lag5,INFLATION_GROWTH,0.005840304743400425
