analysis_type,base_score,fold,group,high_state,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target
classification,,3,INFLATION_GROWTH,high_q90,5.391356836815456,5.391356836815456,external_only,LogisticCoefficient,15,,,3.311451539548683,tci_same_scale_STC
classification,,3,OIL,high_q90,6.833651767424037,6.833651767424037,external_only,LogisticCoefficient,10,,,-4.562721498154403,tci_same_scale_STC
classification,,3,RATE,high_q90,6.423319903046449,6.423319903046449,external_only,LogisticCoefficient,20,,,4.676764289141391,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q90,7.440568937445583,7.440568937445583,external_only,LogisticCoefficient,20,,,0.13002456501457593,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q90,9.147165426597066,9.147165426597066,external_only,LogisticCoefficient,20,,,-3.9980550667193357,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,4.6154330750264005,4.6154330750264005,external_only,LogisticCoefficient,20,,,-2.1775397203927476,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q90,6.376717766430628,6.376717766430628,external_only,LogisticCoefficient,15,,,-0.6985066507131739,tci_same_scale_STC
classification,,3,USD,high_q90,6.107049333998114,6.107049333998114,external_only,LogisticCoefficient,10,,,1.501862658551644,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q90,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q90,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q90,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q90,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,GPR,high_q90,,,external_only,RandomForestClassifierPermutation,25,,,,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q90,,,external_only,RandomForestClassifierPermutation,15,,,,tci_same_scale_STC
classification,,3,OIL,high_q90,,,external_only,RandomForestClassifierPermutation,10,,,,tci_same_scale_STC
classification,,3,RATE,high_q90,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q90,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q90,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q90,,,external_only,RandomForestClassifierPermutation,15,,,,tci_same_scale_STC
classification,,3,USD,high_q90,,,external_only,RandomForestClassifierPermutation,10,,,,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q90,4.663755202873809,4.663755202873809,arx_external_plus_target_lags,LogisticCoefficient,35,,,1.0114824135081355,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q90,6.68155099630315,6.68155099630315,arx_external_plus_target_lags,LogisticCoefficient,35,,,0.49647158057476004,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q90,4.539808965880916,4.539808965880916,arx_external_plus_target_lags,LogisticCoefficient,35,,,-0.7258932023618205,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q90,6.882305211235886,6.882305211235886,arx_external_plus_target_lags,LogisticCoefficient,35,,,-0.9113565986654566,tci_same_scale_STC
classification,,3,GPR,high_q90,4.804013642745861,4.804013642745861,arx_external_plus_target_lags,LogisticCoefficient,25,,,1.7542739451062055,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q90,4.94998618448054,4.94998618448054,arx_external_plus_target_lags,LogisticCoefficient,15,,,1.4376508699330375,tci_same_scale_STC
classification,,3,OIL,high_q90,5.409602979878421,5.409602979878421,arx_external_plus_target_lags,LogisticCoefficient,10,,,-3.8608700878468856,tci_same_scale_STC
classification,,3,RATE,high_q90,6.271603349987578,6.271603349987578,arx_external_plus_target_lags,LogisticCoefficient,20,,,3.7153248253084223,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q90,5.8569149133384055,5.8569149133384055,arx_external_plus_target_lags,LogisticCoefficient,20,,,-0.748125796814448,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q90,7.741431481044566,7.741431481044566,arx_external_plus_target_lags,LogisticCoefficient,20,,,-3.1416474982714613,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,4.446862427932888,4.446862427932888,arx_external_plus_target_lags,LogisticCoefficient,20,,,-2.7478914776706325,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q90,6.085177306730027,6.085177306730027,arx_external_plus_target_lags,LogisticCoefficient,15,,,-0.6073640195578931,tci_same_scale_STC
classification,,3,TCI_AR,high_q90,7.985627331526863,7.985627331526863,arx_external_plus_target_lags,LogisticCoefficient,5,,,7.985627331526863,tci_same_scale_STC
classification,,3,USD,high_q90,2.9419339839349536,2.9419339839349536,arx_external_plus_target_lags,LogisticCoefficient,10,,,-0.792590593404893,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_STC
classification,,3,GPR,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,25,,,,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,,,,tci_same_scale_STC
classification,,3,OIL,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,,,,tci_same_scale_STC
classification,,3,RATE,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,,,,tci_same_scale_STC
classification,,3,TCI_AR,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,5,,,,tci_same_scale_STC
classification,,3,USD,high_q90,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,,,,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q75,18.408989063897852,18.408989063897852,external_only,LogisticCoefficient,35,,,2.1386487503104874,tci_same_scale_MTC
classification,,3,CFTC_PALLADIUM,high_q75,15.217217104475404,15.217217104475404,external_only,LogisticCoefficient,35,,,2.5463929589545984,tci_same_scale_MTC
classification,,3,CFTC_PLATINUM,high_q75,17.5830792499744,17.5830792499744,external_only,LogisticCoefficient,35,,,-0.10930738052411473,tci_same_scale_MTC
