feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,test_end,test_start,test_std,train_end,train_start
arx_external_plus_target_lags,3,0.19169439862663148,ARX_Ridge,ARX,390,2205,0.9963421926745195,0.2624719592350554,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,5.457178739454864,Exog_ElasticNet,Exog,390,2205,-0.9892144323667007,6.120872050141922,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.12773820900330493,ARX_ElasticNet,ARX,390,2205,0.9984147605558866,0.17279052945972892,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,4.315731416545445,Exog_RandomForest,Exog,390,2205,-0.17437624629857384,4.703012462406582,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,2.7149104170825584,ARX_RandomForest,ARX,390,2205,0.48597645010859225,3.111458470366489,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,4.45290606365648,Exog_ExtraTrees,Exog,390,2205,-0.22678936641193692,4.8068160418208565,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,3.550872644766115,ARX_ExtraTrees,ARX,390,2205,0.20903926855451227,3.8596681115281686,tci_same_scale_MTC,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
mean_baseline,1,12.465452206897755,Mean,Mean,389,1427,-0.1199420239930935,14.407698718409204,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
target_lags,1,0.3539694090457188,AR_Ridge,AR,389,1427,0.9986312752701997,0.5036802301247907,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
external_only,1,18.213851538158725,Exog_Ridge,Exog,389,1427,-1.4230333130018304,21.192224219574097,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,1.6118006654477635,ARX_Ridge,ARX,389,1427,0.9761890800422159,2.100801095877457,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
external_only,1,17.89950725625938,Exog_ElasticNet,Exog,389,1427,-1.3699916981002116,20.958985639432964,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,1.1951263349482113,ARX_ElasticNet,ARX,389,1427,0.9869792551611518,1.5535125352019676,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
external_only,1,27.129353937604012,Exog_RandomForest,Exog,389,1427,-3.832260390039136,29.92760836414698,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,19.97691869257683,ARX_RandomForest,ARX,389,1427,-1.5791890427321174,21.86444386505269,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
external_only,1,20.93743953275357,Exog_ExtraTrees,Exog,389,1427,-2.137511577997264,24.1151249378602,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,16.58093975579121,ARX_ExtraTrees,ARX,389,1427,-0.9864666177155197,19.188343453710612,tci_within_gold,2022-03-16,2020-03-04,13.614348006550268,2020-03-03,2013-04-08
mean_baseline,2,8.640553076369718,Mean,Mean,389,1816,-0.9597067971066471,11.502871397387246,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
target_lags,2,0.20660809254371618,AR_Ridge,AR,389,1816,0.998785431478206,0.28636617952586585,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
external_only,2,10.676220554331177,Exog_Ridge,Exog,389,1816,-2.270498895714466,14.85996266663107,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,1.869617658114639,ARX_Ridge,ARX,389,1816,0.8997507952162292,2.601663853444033,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
external_only,2,10.278463477981218,Exog_ElasticNet,Exog,389,1816,-2.0661658498333466,14.388268580938476,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.9328755604325805,ARX_ElasticNet,ARX,389,1816,0.9806129359008231,1.1441072509520624,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
external_only,2,9.323807740853423,Exog_RandomForest,Exog,389,1816,-1.0328746718443833,11.715639978919203,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,4.596761178931316,ARX_RandomForest,ARX,389,1816,0.4535274065752154,6.074281408822246,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
external_only,2,10.54965480918945,Exog_ExtraTrees,Exog,389,1816,-1.4651606529715826,12.901295672563041,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,7.1558662158475475,ARX_ExtraTrees,ARX,389,1816,-0.12429393909754705,8.712657653622925,tci_within_gold,2024-03-12,2022-03-17,8.216951335892492,2022-03-16,2013-04-08
mean_baseline,3,11.947625521912778,Mean,Mean,390,2205,-1.0536738549546087,14.142996775045473,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
target_lags,3,0.2512664833978476,AR_Ridge,AR,390,2205,0.9985386684027153,0.37726810675974903,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
external_only,3,9.417440879850428,Exog_Ridge,Exog,390,2205,-0.5207559784873983,12.170417352572025,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.7036791681833119,ARX_Ridge,ARX,390,2205,0.9931971244811607,0.8139954312911819,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
external_only,3,8.91936360552965,Exog_ElasticNet,Exog,390,2205,-0.2443753281474761,11.009089469471437,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
